jxAccount	jsAccDatabase	jsAccount	nAccValG	nAccValS	jxServerGroup
&暴血狂人&	1	dengzhongwei103467048	323316	932	11
00151234526	1	00151234526	211294	443	41
00553303	4	zzg00553308	144979	1646	41
00553304	4	zzg00553309	357735	3852	41
0066880000	1	0066880000	150080	4162	11
00cxy123	1	JSFAAAAAAA4148219	299281	1408	41
01045065	3	z662500822	155657	258	12
018909789	3	312226816	243790	598	11
0215001	3	61967070@163.com	207540	1532	41
027023013335	3	lsl955168	106963	172	41
02888090299	1	liubotao33889	212219	2050	41
03574528266	2	4528266	247242	3227	31
08332983383zq	3	08332983383zq	242559	3631	41
09313802957	1	shirongju3	406123	770	41
0991bao	5	hongtian_xy	63664	1510	31
103and329	5	sgjlcp	84664	2958	31
111222	4	zxbing88	166606	319	41
115634638	3	sky821018	164589	401	241
115813947520	1	ssstoneegg	128404	909	11
122236589	1	as721113	208882	1388	41
122290305	4	marskunlun98	381594	268	12
122647	4	wstitiger	745302	161325	12
12321542	1	12321542	376931	219	241
123456hj	4	zds10108	268235	2644	41
123keke	2	huahuataisui11	3955656	1324	31
124488869	1	wzj8206	665893	368	12
125092724123	1	tangqianyan19830104	316499	1101	12
1278519680fu	1	275860714fd	72129	25	11
13007657778	4	05646012638	652430	858	241
13030543656	4	228558888	66487	683	12
13058908382	1	15088353166cxd	664403	559	12
13082583308	1	44596473000	237961	380	241
1314179ufo2000	2	wuyong556000	134425	3262	41
13222976175	1	pauleoxia3	365444	5984	41
13308130117	4	daxiaotianwang2	901395	7410	12
13311712682	5	woshiwanjxde	99274	771	181
13329308882	2	wu7968333	356412	984	31
13331526002	1	13943800973	486779	1359	41
13343536615	1	664747252	321894	1236	241
13439089679	1	feng1145244995	189109	443	241
13472876828	4	174637725	95273	1303	241
13508716618super	3	821688xkk	423851	798	41
135093997777	6	135093997777	627943	4497	41
135093998888	6	135093998888	196378	2296	41
13521872248	2	13752524293	216089	335	31
13526879111	1	13526879111	368063	5025	41
1352801242712	1	135280124274	180458	283	11
135280124273	1	135280124275	152957	131	11
13538151037	1	andyleo18	129776	372	12
13542031881	1	ytbihss2008_61	154495	697	41
13542202013	1	158196685610000	166124	1431	12
13542215697	1	15819668561000	90998	4910	12
1355340418912	1	135280124276	164364	185	11
13560722116	4	js20090188	221582	121	11
13566655913	1	ssq39731902	321375	607	11
13568336420	4	zds101011	322114	146	41
13571513194	6	jzs13571513194	167516	6755	41
13574984494	1	13574984494a	155094	402	11
13584805476	1	wzs820817	1222812	2295	41
13602148211	2	zhaoqi3535	118540	93	31
13606193542	1	419145772	121452	90	11
136106104__04	2	136106104_04	500477	2872	31
13651712240	1	13651712240hua	61496	1342	41
13651712240hua	1	820350505	114493	411	41
136701	1	yuya0408	200975	329	241
13702611589	3	dy810086	146926	827	41
13713800999	1	xxc159753	103406	1427	41
13718588527	5	521dandan125	82880	459	31
13760071629	6	lnsq2009004	82338	71	12
13762923162	6	13762923162	195652	1379	241
13762948461	1	13762948461	321867	2782	241
13773325541	1	liyao68515074	117735	1209	12
13788553795	1	zhouwei012346789	80077	471	241
13819632580	1	ssq13365679058	225002	320	11
13822929897	1	qldn1988	328102	45	11
13823782321	4	13823782321	71382	792	41
13827273093	1	13827273093	163052	907	241
