GATEWAY_NAME	ACCOUNT	ITEM_TYPE	ITEM_LEVEL	TOTAL_MONEY_AMOUNT	TIME_LIMIT
gate0107	sosnight	301994192	1	80	43200
gate0107	280290407	301994228	1	800	43200
gate0107	pengliang1979	301994191	1	80	43200
gate0107	463330187	301994192	1	80	43200
gate0107	83948621	301994192	1	80	43200
gate0107	781130@www.com	301994192	1	80	43200
gate0107	5383850	301994192	1	80	43200
gate0107	7781019a	301994192	1	80	43200
gate0107	407657587	301994102	1	1000	43200
gate0107	zw454393926	301994191	1	80	43200
gate0107	bobo125220	301994191	1	80	43200
gate0107	youcailian	301994192	1	80	43200
gate0107	cwmwxf	301994192	1	80	43200
gate0107	lqc5103	301994192	1	80	43200
gate0107	896164489	301994191	1	80	43200
gate0107	glnibendan00	301994100	1	8	43200
gate0107	eddy0217	301994192	1	80	43200
gate0107	yuc_8091182679	301994192	1	80	43200
gate0107	wx13134513014	301994192	1	80	43200
gate0107	renaimei12345	301994191	1	80	43200
gate0107	lovezhang2233	301994192	1	80	43200
gate0107	wwwrickyok888	301994192	1	80	43200
gate0107	51346764	301994191	1	80	43200
gate0107	yujun1978520	301994191	1	80	43200
gate0107	liuangel2007	301994192	1	80	43200
gate0107	331833472	301994191	1	80	43200
gate0107	myl410317	301994191	1	80	43200
gate0107	willjun142	301994100	1	8	43200
gate0107	q510984978	301994191	1	80	43200
gate0107	bulyxing55	301994192	1	80	43200
gate0107	331833472	301994192	1	80	43200
gate0107	glnibendan00	301994100	1	8	43200
gate0107	13459300301	301994073	2	120	43200
gate0107	yyb19740327	301994100	1	8	43200
gate0107	hzp38248	301994192	1	80	43200
gate0107	499698808	301994191	1	80	43200
gate0107	wqp19841212443	301993985	3	15	43200
gate0107	hrhxn	301994192	1	80	43200
gate0107	youcailian	301994191	1	80	43200
gate0107	wqp19841212443	301993985	3	15	43200
gate0107	aruisa	301994192	1	80	43200
gate0107	gladweixian	301994192	1	80	43200
gate0107	liudaquan1230	301994191	1	80	43200
gate0107	lqc5102	301994192	1	80	43200
gate0107	leioyuan001	301994173	1	30	43200
gate0107	sun853015	301994191	1	80	43200
gate0107	xxczgou08	301994100	1	8	43200
gate0107	byni466200	301994191	1	80	43200
gate0107	wwwl198604	301994192	1	80	43200
gate0107	1042891971	301994192	1	80	43200
gate0107	ksws0185767	301994192	1	80	43200
gate0107	yuan810724	335548879	1	20	43200
gate0107	woaiwode7	301994191	1	80	43200
gate0107	a13798154434	301994191	1	80	43200
gate0107	bbb5618888	301994192	1	80	43200
gate0107	dickey_wang@163.com	301994192	1	80	43200
gate0107	hzp38248	301994191	1	80	43200
gate0107	guoweiwei636	301994192	1	80	43200
gate0107	2814693097	301994192	1	80	43200
gate0107	wqp19841212443	301993985	3	15	43200
gate0107	lsf5106	301994192	1	80	43200
gate0107	2929856qin	301994192	1	80	43200
gate0107	zle963	301994192	1	80	43200
gate0107	zsl4141	301994191	1	80	43200
gate0107	jiaminiou	301994173	1	30	43200
gate0107	juexin110	301994192	1	80	43200
gate0107	8641597	301994191	1	80	43200
gate0107	ahuanihao520	301994191	1	80	43200
gate0107	fengwjb	301994192	1	80	43200
gate0107	lqc5101	301994191	1	80	43200
gate0107	caiqing139	301994191	1	80	43200
gate0107	myl325410	301994192	1	80	43200
gate0107	xxczgou08	301994100	1	8	43200
gate0107	xxczgou06	301994100	1	8	43200
gate0107	nxg1	301994192	1	80	43200
gate0107	12441330	301994191	1	80	43200
gate0107	lsf5104	301994191	1	80	43200
gate0107	yao23535	301994191	1	80	43200
gate0107	woaiwode7	301994192	1	80	43200
gate0107	wwn3280517	301994192	1	80	43200
gate0107	yuan810725	301994100	1	8	43200
gate0107	13459300301	301994073	2	120	43200
gate0107	13459300301	301994073	2	120	43200
gate0107	47636642	301994192	1	80	43200
gate0107	ycxj2001	301994192	1	80	43200
gate0107	wuya450239616	301994100	1	8	43200
gate0107	cow529100	301994192	1	80	43200
gate0107	allnewcyndi	301994191	1	80	43200
gate0107	pengfei777	301994191	1	80	43200
gate0107	a403196399	301994191	1	80	43200
gate0107	yuc_8091182679	301994191	1	80	43200
gate0107	qiseguangpc3	301994191	1	80	43200
gate0107	1042891971	301994191	1	80	43200
gate0107	yao23535	301994192	1	80	43200
gate0107	bobo125220	301994192	1	80	43200
gate0107	zgfsthy	301994192	1	80	43200
gate0107	88652380g	301994192	1	80	43200
gate0107	zhang830203	301994191	1	80	43200
gate0107	15091920507	301994192	1	80	43200
gate0107	407657587	301994102	1	1000	43200
gate0107	zhengyan0408@126.com	301994192	1	80	43200
gate0107	bailin741	301994191	1	80	43200
gate0107	13798154434	301994192	1	80	43200
gate0107	lsf5106	301994100	1	8	43200
gate0107	lqc5101	301994192	1	80	43200
gate0107	abc0644	301994191	1	80	43200
gate0107	lqc5106	301994192	1	80	43200
gate0107	ZLLLEAON88	301994191	1	80	43200
gate0107	yujun1978520	301994192	1	80	43200
gate0107	yexiaoming2	301994192	1	80	43200
gate0107	polangchx	301994074	2	120	43200
gate0107	zxf3303	301994192	1	80	43200
gate0107	lqc5102	301994191	1	80	43200
gate0107	qiou5678	301994192	1	80	43200
gate0107	zhangxiucheng@msn.com	301994192	1	80	43200
gate0107	lqc5105	301994192	1	80	43200
gate0107	pan8397	301994191	1	80	43200
gate0107	7502026	301994191	1	80	43200
gate0107	wshtta	301994192	1	80	43200
gate0107	wangyi4123283	301994191	1	80	43200
gate0107	chjunstar	301994192	1	80	43200
gate0107	9178320344	301994192	1	80	43200
gate0107	a403196399	301994192	1	80	43200
gate0107	32903995	301994192	1	80	43200
gate0107	w328wn	301994191	1	80	43200
gate0107	yuan3066283	301994192	1	80	43200
gate0107	13459300301	301994073	2	120	43200
gate0107	soaryyt	301994191	1	80	43200
gate0107	yyb19740327	301994100	1	8	43200
gate0107	7708151	301994191	1	80	43200
gate0107	LLL138	301994191	1	80	43200
gate0107	abc0666	301994191	1	80	43200
gate0107	wuya450239616	301994100	1	8	43200
gate0107	evil080	301994191	1	80	43200
gate0107	whg7001	301994191	1	80	43200
gate0107	shmilykw182814155	301994192	1	80	43200
gate0107	wwwSAMOK8	301994191	1	80	43200
gate0107	ZLLLEAON	301994191	1	80	43200
gate0107	p13532109918	301994055	2	180	43200
gate0107	woaixiaomi271441	301994055	2	180	43200
gate0107	407657587	301994102	1	1000	43200
gate0107	407657587	301994102	1	1000	43200
gate0107	cx2758665	301994102	2	10000	43200
gate0107	yao1120	301994191	1	80	43200
gate0107	dickey_wang@163.com	301994191	1	80	43200
gate0107	zhang40052617	301994192	1	80	43200
gate0107	qqyypp33	301994100	1	8	43200
gate0107	98701097@qq.com	301994191	1	80	43200
gate0107	8641597101	301994100	1	8	43200
gate0107	yjlcczz2008	301994192	1	80	43200
