GATEWAY_NAME	ACCOUNT	ITEM_TYPE	USE_TYPE	ITEM_LEVEL	TOTAL_MONEY_AMOUNT	TIME_LIMIT
gate0101	252688874	301994100	2	1	8	43200
gate0101	88690756	301994102	2	1	1000	43200
gate0101	ainishengyou5	301994100	2	1	8	43200
gate0101	ainishengyou5	301994100	2	1	8	43200
gate0101	ainishengyou5	301994100	2	1	8	43200
gate0101	ainishengyou7	301994100	2	1	8	43200
gate0101	ainishengyou7	301994100	2	1	8	43200
gate0101	bnxf310	301994100	2	1	8	43200
gate0101	bolixin132	301994100	2	1	8	43200
gate0101	bolixin132	301994100	2	1	8	43200
gate0101	bolixin132	301994100	2	1	8	43200
gate0101	choive	301994100	2	1	8	43200
gate0101	choive	301994100	2	1	8	43200
gate0101	chzhy2009	301994100	2	1	8	43200
gate0101	chzhy2009	301994100	2	1	8	43200
gate0101	hongjia@@	301994100	2	1	8	43200
gate0101	hua15872630758	301994055	2	3	540	43200
gate0101	huangshanliwei2008	301994100	2	1	8	43200
gate0101	huangshanliwei2008	301994100	2	1	8	43200
gate0101	huangshanliwei2008	301994100	2	1	8	43200
gate0101	jslizar	301994100	2	1	8	43200
gate0101	jslizar	301994100	2	1	8	43200
gate0101	jslizar	301994100	2	1	8	43200
gate0101	jslizar	301994100	2	1	8	43200
gate0101	killfire7	301994100	2	1	8	43200
gate0101	killfire7	301994100	2	1	8	43200
gate0101	leeyo226	301993985	2	5	175	43200
gate0101	liuhuicai0055	301994100	2	1	8	43200
gate0101	liuhuicai0055	301994100	2	1	8	43200
gate0101	liuhuicai0055	301994100	2	1	8	43200
gate0101	loveu91	301994100	2	1	8	43200
gate0101	loveu91	301994100	2	1	8	43200
gate0101	loveu91	301994100	2	1	8	43200
gate0101	mircm	301993985	2	3	15	43200
gate0101	phyberlizo4	301994100	2	1	8	43200
gate0101	phyberlizo4	301994100	2	1	8	43200
gate0101	phyberlizo4	301994100	2	1	8	43200
gate0101	phyberlizo4	301994100	2	1	8	43200
gate0101	phyberlizo4	301994100	2	1	8	43200
gate0101	phyberlizo4	301994100	2	1	8	43200
gate0101	phyberlizo4	301994100	2	1	8	43200
gate0101	phyberlizo4	301994100	2	1	8	43200
gate0101	phyberlizo4	301994100	2	1	8	43200
gate0101	phyberlizo4	301994100	2	1	8	43200
gate0101	rabbitnic	301994008	2	1	50	43200
gate0101	rabbitnic	301994008	2	1	50	43200
gate0101	rabbitnic	301994008	2	1	50	43200
gate0101	wangjiating5	335548879	2	1	20	43200
gate0101	wangzhengask	301994055	2	2	180	43200
gate0101	wly549103	301994100	2	1	8	43200
gate0101	wyhaonice	301994100	2	1	8	43200
gate0101	wyhaonice	301994100	2	1	8	43200
gate0101	wyhaonice	301994100	2	1	8	43200
gate0101	yangke771010@sina.com	301994100	2	1	8	43200
gate0101	yangke771010@sina.com	301994100	2	1	8	43200
gate0101	yuyi0671	301994100	2	1	8	43200
gate0101	yx19851226	301994055	2	1	36	43200
gate0101	yx19851226	301994055	2	1	36	43200
gate0101	zxflan110	301994100	2	1	8	43200
gate0101	zxflan110	301994100	2	1	8	43200
gate0101	zxflan110	301994100	2	1	8	43200
gate0102	18519730	301993985	2	3	15	43200
gate0102	18519730	301993985	2	3	15	43200
gate0102	18519730	301993985	2	3	15	43200
gate0102	18519730	301993985	2	3	15	43200
gate0102	18519730	301993985	2	3	15	43200
gate0102	18519730	301993985	2	3	15	43200
gate0102	18519730	301993985	2	3	15	43200
gate0102	18519730	301993985	2	3	15	43200
gate0102	18519730	301993985	2	3	15	43200
gate0102	18519730	301993985	2	5	175	43200
gate0102	18519730	301993985	2	5	175	43200
gate0102	18519730	301993985	2	5	175	43200
gate0102	18519730	301993985	2	5	175	43200
gate0102	18519730	301993985	2	5	175	43200
gate0102	18519730	301993985	2	5	175	43200
gate0102	18519730	301993985	2	5	175	43200
gate0102	18519730	301993985	2	5	175	43200
gate0102	18519730	301993985	2	5	175	43200
gate0102	18519730	301993985	2	5	175	43200
gate0102	18519730	301993985	2	5	175	43200
gate0102	18519730	301993985	2	5	175	43200
gate0102	30070080	335548879	2	1	20	43200
gate0102	350870188	301994055	2	3	540	43200
gate0102	350870188	301994055	2	3	540	43200
gate0102	350870188	301994055	2	3	540	43200
gate0102	350870188	301994055	2	3	540	43200
gate0102	350870188	301994055	2	3	540	43200
gate0102	350870188	301994055	2	3	540	43200
gate0102	350870188	301994055	2	3	540	43200
gate0102	420119057llc	301994102	2	1	1000	43200
gate0102	420119057llc	301994102	2	1	1000	43200
gate0102	9280428	301994100	2	1	8	43200
gate0102	9280428	301994100	2	1	8	43200
gate0102	9280428	301994100	2	1	8	43200
gate0102	9280428	301994100	2	1	8	43200
gate0102	9280428	301994100	2	1	8	43200
gate0102	9280428	301994100	2	1	8	43200
gate0102	9280428	301994100	2	1	8	43200
gate0102	9280428	301994100	2	1	8	43200
gate0102	9280428	301994100	2	1	8	43200
gate0102	9280428	301994100	2	1	8	43200
gate0102	9280428	301994100	2	1	8	43200
gate0102	9280428	301994100	2	1	8	43200
gate0102	9280428	301994100	2	1	8	43200
gate0102	9280428	301994100	2	1	8	43200
gate0102	9280428	301994100	2	1	8	43200
gate0102	9280428	301994100	2	1	8	43200
gate0102	9280428	301994100	2	1	8	43200
gate0102	9280428	301994100	2	1	8	43200
gate0102	9280428	301994100	2	1	8	43200
gate0102	9280428	301994100	2	1	8	43200
gate0102	9280428	301994100	2	1	8	43200
gate0102	KSDA7649438	301994069	2	1	200	43200
gate0102	W274376803	301994055	2	1	36	43200
gate0102	W274376803	301994055	2	1	36	43200
gate0102	W274376803	301994055	2	1	36	43200
gate0102	W274376803	301994055	2	1	36	43200
gate0102	W274376803	301994055	2	1	36	43200
gate0102	W274376803	301994055	2	1	36	43200
gate0102	W274376803	301994055	2	1	36	43200
gate0102	W274376803	301994055	2	1	36	43200
gate0102	W274376803	301994055	2	1	36	43200
gate0102	W274376803	301994055	2	1	36	43200
gate0102	bldzhq	301994100	2	1	8	43200
gate0102	bldzhq	301994100	2	1	8	43200
gate0102	daqun1986@hotmail.com	301994069	2	1	200	43200
gate0102	fufu898898	301994100	2	1	8	43200
