GATEWAY_NAME	GATEWAY_DESC	ACCOUNT	PLAYERNAME	MONEY	BINDMONEY	BINDCOIN	GENRE	DETAILTYPE	PARTICULARTYPE	LEVEL	BIND	NUM	LIMITTIME	DOSCRIPT
大区号	区服	帐号	角色名	银两	绑定银两	绑定金币	物品大类	物品子类	物品小类	物品等级	绑定	物品数量	限时(分)	脚本指令
1	青龙区燕子坞	3591344aa	妙水灵儿				18	1	381	2	1	2	43200	 me.AddTitle(6, 9, 1, GetTime() + 3600*24*90);
1	青龙区燕子坞	3591344aa	妙水灵儿				18	1	236	1	1	5	43200	
1	青龙区石鼓镇	458978323	【天赐】牛比 	293000										
1	青龙区巴陵县	feixiangdiannao123	南天·刖·	95400										
1	青龙区燕子坞	ljm061017	【皇朝】煙雲	3450000										
1	青龙区青螺岛	qq234844500	洋清玲	1440000										
1	青龙区青螺岛	rivjidtf	【傲世群鹰】	1800000										
1	青龙区青螺岛	xiejpm	宵夜柒枪神君	2700000										
1	青龙区浣花溪	ziyouqiti	自由固体				18	1	381	1	1	1	43200	me.AddTitle(6, 9, 2, GetTime() + 3600*24*90);
1	青龙区浣花溪	ziyouqiti	自由固体				18	1	236	1	1	10	43200	
1	青龙区龙门镇	zj760607.com	逍遥边缘	12710000		104400								
1	青龙区云中镇	zhong@chi	人亦傲苍天	34720000										
2	白虎区姑苏水榭	365843576	【傲世】飞龙猛将			2000								
2	白虎区太行古径	bachelormuye	慕叶宝宝	1800000										
2	白虎区暮雪山庄	changshuhe	朝阳天	65000										
2	白虎区龙门客栈	ksws0056610	疯狂狼龙	440000										
2	白虎区茶马古道	tf498537	要命的王超	1323000										
2	白虎区雁荡龙湫	yuanye900	手里没棍	640000		15660								
2	白虎区湖畔竹林	252781803 	天下闹闹龙脉	246000										
2	白虎区龙虎幻境	wangzhanbo555 	笑谈饮渴倭人血 	164000										
2	白虎区洞庭湖畔	liupai831005	油炸大榴莲		16600000									
3	朱雀区寒波谷	haizi780	癡情的等待	117720										
3	朱雀区武夷山	jincai_3318	天彩剑源	3600000										
3	朱雀区剑门关 	mx20076688 	【沧海】寶寶 				18	1	179	3	1	2	43200	
3	朱雀区月牙泉	sfxandsfx	逍遥火星	1800000										
3	朱雀区岳阳楼	13828036444 	【匪】九纹凤 				18	1	179	3	1	1	43200	
4	玄武区西江月	a358308900	【逍遥】七煞	410000										
4	玄武区满江红	bby88588	淡淡解忧	3600000										
4	玄武区甘露谷	chj85618229 	无所谓·浩劫 				18	1	381	1	1	2	43200	me.AddTitle(6, 9, 3, GetTime() + 3600*24*90);
4	玄武区甘露谷	chj85618229 	无所谓·浩劫 				18	1	236	1	1	15	43200	
