nFactionId	nRouteId	nIndex	nReqLv	nSkillId	Name
1	1	1	10	21	Phục Ma Đao Pháp
1	1	2	30	23	Dịch Cân Kinh
1	1	3	40	25	A La Hán Thần Công
1	1	4	50	24	Phá Giới Đao Pháp
1	1	5	60	250	Hàng Long Phục Hổ
1	1	6	70	26	Bồ Đề Tâm Pháp
1	1	7	90	27	Thiên Trúc Tuyệt Đao
1	1	8	100	252	Như Lai Thiên Diệp
1	1	9	110	819	Thiền Nguyên Công
1	1	10	120	820	Hàng Long Bất Vũ
1	1	11	20	10	Khinh công
1	1	12	70	1200	Đạt Ma Bế Tức
1	1	13	100	1241	高级秘籍
1	2	1	10	29	Phổ Độ Côn Pháp
1	2	2	30	31	Sư Tử Hống
1	2	3	40	25	A La Hán Thần Công
1	2	4	50	33	Phục Ma Côn Pháp
1	2	5	60	34	Bất Động Minh Vương
1	2	6	70	254	Dịch Cốt Kinh
1	2	7	90	36	Thất Tinh La Sát Côn
1	2	8	100	255	Vô Tướng Thần Công
1	2	9	110	821	Túy Bát Tiên Côn
1	2	10	120	822	Ma Kha Vô Lượng
1	2	11	20	10	Khinh công
1	2	12	70	1201	Kim Cang Bất Hoại
1	2	13	100	1242	Như Ý Thúc Cốt Công
2	1	1	10	38	Hồi Phong Lạc Nhạn
2	1	2	30	41	Đoạn Hồn Thích
2	1	3	40	45	Tĩnh Tâm Quyết
2	1	4	50	43	Dương Quan Tam Điệp
2	1	5	60	256	Kinh Lôi Phá Thiên
2	1	6	70	46	Thiên Vương Chiến Ý
2	1	7	90	47	Truy Tinh Trục Nguyệt
2	1	8	100	259	Huyết Chiến Bát Phương
2	1	9	110	823	Bôn Lôi Toàn Long Thương
2	1	10	120	824	Hoành Hành Vô Kỵ
2	1	11	20	10	Khinh công
2	1	12	70	1202	Phi Kinh Trảm Thích
2	1	13	100	1243	Liên Hoàn Đoạt Mệnh Thương
2	2	1	10	50	Hành Vân Quyết
2	2	2	30	41	Đoạn Hồn Thích
2	2	3	40	781	Tĩnh Tâm Thuật
2	2	4	50	53	Truy Phong Quyết
2	2	5	60	260	Thiên Vương Bản Sinh
2	2	6	70	55	Kim Chung Tráo
2	2	7	90	56	Thừa Long Quyết
2	2	8	100	262	Bất Diệt Sát Ý
2	2	9	110	825	Trảm Long Quyết
2	2	10	120	826	Hóa Kình Quyết
2	2	11	20	10	Khinh công
2	2	12	70	1202	Phi Kinh Trảm Thích
2	2	13	100	1244	Càn Khôn Chùy
3	1	1	10	69	Độc Thích Cốt
3	1	2	30	64	Mê Ảnh Tung
3	1	3	40	71	Câu Hồn Tĩnh
3	1	4	50	72	Tiểu Lý Phi Đao
3	1	5	60	263	Hấp Tinh Trận
3	1	6	70	73	Triền Thân Thích
3	1	7	90	74	Loạn Hoàn Kích
3	1	8	100	265	Thực Cốt Huyết Nhẫn
3	1	9	110	827	Cơ Quan Bí Thuật
3	1	10	120	828	Ảnh Tung Trận
3	1	11	20	10	Khinh công
3	1	12	70	1203	Hàm Sa Xạ Ảnh
3	1	13	100	1245	Mê Hồn Trận
3	2	1	10	59	Truy Tâm Tiễn
3	2	2	30	64	Mê Ảnh Tung
3	2	3	40	61	Tôi Độc Thuật
3	2	4	50	62	Thiên La Địa Võng
3	2	5	60	266	Đoạn Cân Nhẫn
