TRAPX	TRAPY
49600	100512
48928	100960
49856	99168
50304	99552
50752	98880
50816	99584
51488	99616
51936	97376
52448	98624
53056	99072
53632	97760
52000	100128
52544	100704
53184	101376
54208	102432
54560	102624
53856	103392
52896	103488
53152	103712
52320	103584
51680	104256
52480	104512
52480	105024
53152	104384
51936	104928
51040	100128
50784	100416
50304	100832
50336	101504
50688	101856
51008	102112
52000	102464
52480	101952
52704	101440
51104	101120
50944	101472
51392	101888
51744	101696
47328	105472
50336	102336
50592	102560
50016	102656
50272	102944
49632	103040
49920	103296
49280	103392
49536	103648
48928	103744
49216	104000
48608	104096
48928	104384
47712	104960
48064	105280
47264	104608
46848	104992
52224	104288
