TRAPX	TRAPY
52704	104928
52416	105728
52160	105504
51744	105856
52000	106176
52704	108128
52480	104736
52288	103840
52832	104288
53024	104480
53408	103680
53632	104032
54688	102304
54976	102624
55040	101920
55360	102240
56128	97696
55520	101440
55808	101792
55872	101088
56192	101440
56768	100128
57056	100416
57344	100832
57248	101504
56864	101056
57248	101344
56288	100352
56352	99968
55936	100160
55136	100320
55616	98880
54880	100576
54272	101184
55296	102944
56320	103104
56544	102848
57792	103264
57536	103616
58496	7200
58176	102080
58624	101856
60256	102080
59648	102496
58976	103456
58240	104768
54752	97344
57664	104448
56736	104672
55712	105120
55072	105952
54496	104992
53824	105088
53024	102976
52640	103232
52128	101760
52928	100992
53568	100864
54272	99552
52832	99648
53632	99040
53696	98080
54560	98240
54080	97280
