TRAPX	TRAPY
52480	124832
52672	124864
52608	125152
52448	125184
52480	125056
52608	125440
52480	125376
52512	125760
52352	125632
52256	125824
52384	125344
52608	125984
52448	126016
52960	124800
53152	124736
53184	125888
52736	124960
52768	125280
52864	125440
53056	125024
52960	125184
52864	125056
52992	126240
53152	126368
52992	126464
52800	126272
53696	124896
53600	124768
53568	124608
53696	124544
53344	125888
53376	125632
53472	125472
53600	126080
53344	126080
53344	126432
53568	126432
53472	125984
53728	126048
53952	123104
53952	123296
54112	123392
54240	123200
54048	123648
53952	124000
54208	123904
54176	124320
53984	124320
53792	124128
53856	124512
54080	124768
53888	124832
54144	125056
53888	125472
53856	126016
53792	126304
54752	123040
54432	123200
54304	123392
54656	123776
54496	123648
54624	123424
54368	124256
54336	124832
54528	123936
54400	124032
54496	124320
54624	124160
54720	124448
54592	124768
54720	124000
54528	125088
54944	122784
55200	122656
55232	122272
55040	122976
55104	123200
55168	122944
54944	123296
54880	123040
54816	123648
54816	124160
54848	123936
54944	124064
54944	124416
55136	124288
55232	124480
55104	124576
54848	124576
54848	124960
54784	125344
55712	122688
55456	122656
55360	122848
55296	123104
55520	122912
55712	122976
55328	124192
55520	124160
55424	124416
55296	124576
55840	122720
