TRAPX	TRAPY
58848	110944
59296	110400
58976	110560
58912	110336
59136	110272
59040	110368
59264	110176
59328	110848
59328	110592
58912	111008
58880	110592
59392	110432
59488	110528
59552	110368
59680	110400
59456	110272
59776	110272
59616	110176
59872	110208
59872	110400
59424	110080
59648	110048
59520	109888
59872	110016
59808	109920
59680	111552
59744	111392
59840	111360
59872	111520
59456	110752
59648	110720
59616	110656
60352	110560
60384	110304
60288	110400
60384	110080
59968	110240
59968	110432
60128	110240
60224	110560
60192	110240
59968	110080
60288	109952
60192	110112
60128	109952
60352	109728
59968	111264
60000	111168
60096	111168
60096	111328
60064	111488
59968	111456
60128	111584
60192	111520
60192	111328
60288	111328
60320	111552
60352	111168
60288	110688
60032	111648
60032	111840
60128	111776
60160	111904
60256	111872
60256	111744
60512	108288
60448	108832
60416	109280
60832	110560
60544	110464
60640	110208
60544	110144
60608	110016
60480	109888
60704	109920
60416	111360
60480	111552
60896	110848
60800	111040
60672	111136
60736	110944
60768	110784
60864	110688
60704	110624
60640	110848
60512	110720
60416	111616
60864	112032
60992	111488
60960	111136
61088	111296
60960	111296
61152	111072
60992	110976
60992	112000
60992	111776
61120	111648
