NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
Tống Binh Ngụy Trang	0	5081	0	5	135	1	20	20	20	20	20	1		46944	97984		1		
Tống Binh Ngụy Trang	0	5081	0	5	135	1	20	20	20	20	20	1		47360	97760		1		
Tống Binh Ngụy Trang	0	5081	0	5	135	1	20	20	20	20	20	1		47328	98080		1		
Tống Binh Ngụy Trang	0	5081	0	5	135	1	20	20	20	20	20	1		47552	97984		1		
Tống Binh Ngụy Trang	0	5081	0	5	135	1	20	20	20	20	20	1		47360	98656		1		
Tống Binh Ngụy Trang	0	5081	0	5	135	1	20	20	20	20	20	1		47840	98144		1		
Tống Binh Ngụy Trang	0	5081	0	5	135	1	20	20	20	20	20	1		47648	98432		1		
Tống Binh Ngụy Trang	0	5081	0	5	135	1	20	20	20	20	20	1		47616	98784		1		
Tống Binh Trưởng Ngụy Trang	0	5082	0	5	135	1	20	20	20	20	20	1		47488	98240		1		
Tống Binh Trưởng Ngụy Trang	0	5082	0	5	135	1	20	20	20	20	20	1		47840	98528		1		
Tống Binh Trưởng Ngụy Trang	0	5082	0	5	135	1	20	20	20	20	20	1		47648	99072		1		
Linh Bích Phúc Xà	0	5086	0	5	135	1	20	20	20	20	20	1		47936	101344		1		
Linh Bích Phúc Xà	0	5086	0	5	135	1	20	20	20	20	20	1		48000	101056		1		
Linh Bích Phúc Xà	0	5086	0	5	135	1	20	20	20	20	20	1		48096	101536		1		
Linh Bích Phúc Xà	0	5086	0	5	135	1	20	20	20	20	20	1		48064	102016		1		
Linh Bích Phúc Xà	0	5086	0	5	135	1	20	20	20	20	20	1		48192	101120		1		
Linh Bích Phúc Xà	0	5086	0	5	135	1	20	20	20	20	20	1		48256	101792		1		
Linh Bích Phúc Xà	0	5086	0	5	135	1	20	20	20	20	20	1		48480	101568		1		
Linh Bích Phúc Xà	0	5086	0	5	135	1	20	20	20	20	20	1		48576	102080		1		
Linh Bích Xà Vương	0	5087	0	5	135	1	20	20	20	20	20	1		48320	101440		1		
Miết Lạp Tra	0	5088	3	5	135	1	20	20	20	20	20	1		43520	102336		1		
Tất Tái Ngộ	0	5089	3	5	135	1	20	20	20	20	20	1		51680	102432		1		
Tần Oa	0	5092	3	5	135	1	20	20	20	20	20	1		43040	99584		1		
Thuyền tuần tra	0	5093	0	5	1	1	20	20	20	20	20	1		42624	96128		1		
Thuyền tuần tra	0	5093	0	5	1	1	20	20	20	20	20	1		43200	96352		1		
Thuyền tuần tra	0	5093	0	5	1	1	20	20	20	20	20	1		43936	96576		1		
Thuyền tuần tra	0	5093	0	5	1	1	20	20	20	20	20	1		43776	96768		1		
Thuyền tuần tra	0	5093	0	5	1	1	20	20	20	20	20	1		44000	97024		1		
Thuyền tuần tra	0	5093	0	5	1	1	20	20	20	20	20	1		44512	95808		1		
Thuyền tuần tra	0	5093	0	5	1	1	20	20	20	20	20	1		44320	96960		1		
Thuyền tuần tra	0	5093	0	5	1	1	20	20	20	20	20	1		44096	96512		1		
Thuyền tuần tra	0	5093	0	5	1	1	20	20	20	20	20	1		44704	96000		1		
Thuyền tuần tra	0	5093	0	5	1	1	20	20	20	20	20	1		45056	96128		1		
Thuyền tuần tra	0	5093	0	5	1	1	20	20	20	20	20	1		45312	95808		1		
Thuyền tuần tra	0	5093	0	5	1	1	20	20	20	20	20	1		46112	96448		1		
Thuyền tuần tra	0	5093	0	5	1	1	20	20	20	20	20	1		47104	96928		1		
Thuyền tuần tra	0	5093	0	5	1	1	20	20	20	20	20	1		48512	97664		1		
Thuyền tuần tra	0	5093	0	5	1	1	20	20	20	20	20	1		49024	96992		1		
Thuyền tuần tra	0	5093	0	5	1	1	20	20	20	20	20	1		49376	96608		1		
Thuyền tuần tra	0	5093	0	5	1	1	20	20	20	20	20	1		49408	97344		1		
Thuyền lâu	0	5094	0	5	1	1	20	20	20	20	20	1		48992	97568		1		
Thuyền lâu	0	5094	0	5	1	1	20	20	20	20	20	1		48800	97280		1		
Thuyền lâu	0	5094	0	5	1	1	20	20	20	20	20	1		49472	97056		1		
Thuyền lâu	0	5094	0	5	1	1	20	20	20	20	20	1		49312	96896		1		
Thuyền lâu	0	5094	0	5	1	1	20	20	20	20	20	1		49184	97344		1		
