NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
Dương Thiết Tâm	0	4	3	5	150	1	20	20	20	20	20	1		57920	110496		1		
Quý Thúc Ban	0	6	3	5	90	1	20	20	20	20	20	1		57856	110720		1		
Lâu Nhất Quan	0	301	3	5	90	1	20	20	20	20	20	1		58080	110464		1		
Thuyền Phu	0	8	3	5	60	1	20	20	20	20	20	1		51456	102560		1		
Đệ Tử Phân Đà Thành Đô	0	14	3	5	60	1	20	20	20	20	20	1		61760	109568		1		
Hoa Tử Lý Tuyền	0	15	3	5	60	1	20	20	20	20	20	1		58272	120768		1		
Sát Thủ Thần Bí	0	1170	0	5	25	1	20	20	20	20	20	2	\setting\npc\droprate\droprate003.txt			\setting\map\map_info\qingluodao\npc\shenmishashou.txt	1		
Lãnh Huyết Sát Thủ	0	16	0	5	25	1	20	20	20	20	20	2	\setting\npc\droprate\droprate003.txt			\setting\map\map_info\qingluodao\npc\lengxueshashou.txt	1		2
Lư Tiếu Bần	0	18	3	5	90	1	20	20	20	20	20	1		59808	115328		1		
Bang Chúng Kính Trang	0	19	3	5	60	1	20	20	20	20	20	1		62272	111872		1		
Thương Nhân Thần Bí	0	1171	0	5	25	1	20	20	20	20	20	2	\setting\npc\droprate\droprate003.txt			\setting\map\map_info\qingluodao\npc\shenmishangren.txt	1		
Hộ Vệ Hàn Thác Trụ	0	21	3	5	60	1	20	20	20	20	20	1				\setting\map\map_info\qingluodao\npc\hantuozhouhuwei.txt	1		3
Lãnh Nguyệt Sứ	0	22	0	5	25	1	20	20	20	20	20	2	\setting\npc\droprate\droprate003.txt	60768	113696		1		1
Viêm Dương Sứ	0	23	0	5	25	1	20	20	20	20	20	2	\setting\npc\droprate\droprate003.txt	60544	116064		1		3
Thống Lĩnh Sát Thủ	0	24	0	5	25	1	20	20	20	20	20	2	\setting\npc\droprate\droprate003.txt			\setting\map\map_info\qingluodao\npc\shashoutongling.txt	1		2
Sát Thủ Diêm Bang	0	1169	0	5	25	1	20	20	20	20	20	2	\setting\npc\droprate\droprate003.txt			\setting\map\map_info\qingluodao\npc\yanbanggaoshou.txt	1		
Trưởng Lão Diêm Bang	0	25	0	5	25	1	20	20	20	20	20	2	\setting\npc\droprate\droprate003.txt			\setting\map\map_info\qingluodao\npc\zhantiewei.txt	1		
Cao Thủ Đại Nội	0	1167	0	5	25	1	20	20	20	20	20	2	\setting\npc\droprate\droprate003.txt			\setting\map\map_info\qingluodao\npc\daneigaoshou.txt	1		
Tổng Quản Đại Nội	0	26	0	5	25	1	20	20	20	20	20	2	\setting\npc\droprate\droprate003.txt			\setting\map\map_info\qingluodao\npc\daneizongguan.txt	1		
Tống Đao Binh	0	27	0	5	25	1	20	20	20	20	20	2	\setting\npc\droprate\droprate003.txt			\setting\map\map_info\qingluodao\npc\songjundaobing.txt	1		
Tống Thống Lĩnh Lưu Khoát	0	28	0	5	25	1	20	20	20	20	20	2	\setting\npc\droprate\droprate003.txt	49824	107712		1		
Ngư Phu	0	29	3	5	60	1	20	20	20	20	20	1		50176	106432		1		
Đệ tử phòng tình báo	0	308	3	5	60	1	20	20	20	20	20	1		58560	110912		1		
Nhuệ Tiệp Doanh Truy Binh 	0	312	0	5	25	1	20	20	20	20	20	2	\setting\npc\droprate\droprate003.txt			\setting\map\map_info\qingluodao\npc\ruijieyingzibing.txt	1		
Nhuệ Tiệp Doanh Tinh Nhuệ	0	313	0	5	25	1	20	20	20	20	20	2	\setting\npc\droprate\droprate003.txt			\setting\map\map_info\qingluodao\npc\ruijieyingjingrui.txt	1		
Người hầu Sở Trung Lương	0	314	0	5	25	1	20	20	20	20	20	2	\setting\npc\droprate\droprate003.txt			\setting\map\map_info\qingluodao\npc\tieshenshicong.txt	1		
Sở Trung Lương	0	315	0	5	25	1	20	20	20	20	20	2	\setting\npc\droprate\droprate003.txt	51328	117088		1		
Sở Kiệt	0	316	3	5	60	1	20	20	20	20	20	1		51712	117984		1		
Khước Thương	0	309	0	5	25	1	20	20	20	20	20	2	\setting\npc\droprate\droprate003.txt	53728	108384		1		
Lý Tiển 	0	310	0	5	25	1	20	20	20	20	20	2	\setting\npc\droprate\droprate003.txt	52992	111392		1		
Công Dương Tôn	0	311	0	5	25	1	20	20	20	20	20	2	\setting\npc\droprate\droprate003.txt	51360	109920		1		
Thống lĩnh Tiên Phong Bạch Phổ	0	317	3	5	60	1	20	20	20	20	20	1		58176	111392		1		
U Uất Đệ Tử	0	1165	3	5	60	1	20	20	20	20	20	1		61856	112032		1		
Á Lão Đầu	0	306	3	5	60	1	20	20	20	20	20	1		55616	102400		1		
Cháu của Á Lão Đầu	0	1173	3	5	60	1	20	20	20	20	20	1		55744	102464		1		
Đệ Tử Thiên Vương Bang	0	1174	3	5	60	1	20	20	20	20	20	1				\setting\map\map_info\qingluodao\npc\tianwangdizi.txt	1		
Đệ Tử Thiên Vương Bang	0	1168	0	0	25	1	20	20	20	20	20	2	\setting\npc\droprate\droprate003.txt			\setting\map\map_info\qingluodao\npc\tianwangdiziz.txt	1		
Hoa Tử kỳ bí	0	1172	0	0	25	1	20	20	20	20	20	2	\setting\npc\droprate\droprate003.txt			\setting\map\map_info\qingluodao\npc\qiguaihuazi.txt	1		
Đống Lửa	0	1175	3	5	1	1	20	20	20	20	20	1		57248	110976		1		
Tiễn xa	0	1407	3	5	1	1	20	20	20	20	20	1		57216	110752		1		
Hùng Đỉnh	0	1166	3	5	90	1	20	20	20	20	20	1		57312	110880		1		
Đống sắt vụn	0	1596	3	5	1	1	20	20	20	20	20	1				\setting\map\map_info\qingluodao\npc\feitiedui.txt	1		
Đến Cáp Xá	0	2525	4	5	1	1	20	20	20	20	20	1		58720	111072		1		
Đến Phòng Cầu Chỉ Thủy	0	2525	4	5	1	1	20	20	20	20	20	1		57824	111456		1		
Đến Thần Bí Địa Huyệt	0	2525	4	5	1	1	20	20	20	20	20	1		55264	102528		1		
to_dilao	1															\setting\map\map_info\qingluodao\trap\to_dilao.txt			
to_peiyifei	1															\setting\map\map_info\qingluodao\trap\to_peiyifei.txt			
to_qiuzhishui	1															\setting\map\map_info\qingluodao\trap\to_qiuzhishui.txt			
to_shenmixiaojing	1															\setting\map\map_info\qingluodao\trap\to_shenmixiaojing.txt			
to_xingtianling	1															\setting\map\map_info\qingluodao\trap\to_xingtianling.txt			
Bang Chúng Diêm Bang	0	2045	0	5	25	1	20	20	20	20	20	1	\setting\npc\droprate\droprate003.txt			\setting\map\map_info\qingluodao\npc\area1.txt	1		2
Thích Khách Thần Bí	0	2046	0	5	25	1	20	20	20	20	20	1	\setting\npc\droprate\droprate003.txt			\setting\map\map_info\qingluodao\npc\area2.txt	1		3
