TRAPX	TRAPY
49632	115616
49600	115488
49472	115136
49408	115264
49376	115136
49408	116384
49344	116512
49312	116384
49440	115872
49376	116000
49344	115872
49632	116128
49600	116000
49696	115488
49696	116000
50144	117184
50080	117312
50048	117184
49920	121056
49984	120928
49888	120928
50144	121408
50112	121280
49696	121312
49760	121184
49664	121184
49792	121728
49696	121728
50112	121888
50048	122016
50016	121888
49728	121856
50272	117568
50336	117440
50240	117440
50432	118656
50496	118528
50400	118528
50560	118176
50624	118048
50528	118048
50336	118016
50400	117888
50304	117888
50656	119648
50208	121280
50656	121760
50560	121760
50656	121312
50624	121184
50592	121888
50688	119776
50752	119648
50976	119424
51040	119296
50944	119296
51136	119712
50912	120032
50976	119904
50880	119904
51168	119840
50944	121440
51008	121312
50912	121312
50944	121792
50848	121792
50720	121184
50880	121920
51264	119328
51328	119200
51232	119200
51552	119072
51616	118944
51520	118944
51616	119552
51680	119424
51584	119424
51232	119712
51520	120000
51584	119872
51488	119872
51264	120384
51328	120256
51232	120256
51232	121728
51296	121600
51200	121600
52160	115040
52096	115168
52064	115040
52192	115488
52096	119392
52160	119264
52064	119264
52096	120032
52160	119904
52064	119904
52128	120704
52192	120576
52096	120576
52576	115072
52512	115200
52480	115072
52288	115488
52224	115616
52576	115552
52512	115680
52480	115552
52352	119680
52416	119552
52320	119552
52416	120192
52480	120064
52384	120064
52864	115264
52800	115392
52768	115264
53216	115776
53120	121792
53184	121664
53088	121664
52896	121280
52960	121152
52864	121152
53408	115360
53344	115488
53312	115360
53600	115680
53504	115680
53728	115552
53696	115424
53312	115776
53248	115904
53536	115808
53408	118432
53472	118304
53376	118304
53600	118752
53504	118752
53728	118240
53696	118112
53536	118880
53504	121600
53568	121472
53472	121472
53376	121088
53440	120960
53344	120960
53408	122304
53472	122176
53376	122176
53792	115424
53920	115072
53856	115200
53824	115072
53952	118656
53856	118656
53792	118112
54080	118304
54144	118176
54048	118176
53888	118784
54144	121696
54208	121568
54112	121568
54240	122208
53952	122144
54016	122016
53920	122016
54528	118720
54432	118720
54656	118528
54624	118400
54720	118400
54688	119616
54752	119488
54656	119488
54400	119584
54464	119456
54368	119456
54464	118848
54656	122080
54720	121952
54624	121952
54272	122336
54336	122208
54880	118752
54784	118752
54816	118880
54976	121792
54880	121792
54912	121920
