TRAPX	TRAPY
56160	113696
56288	114208
56768	113504
56576	114112
56832	113952
56928	115232
57088	114880
57312	115040
57536	115392
57760	116576
57664	115808
57536	116160
57760	116992
57568	118656
57792	118112
57504	119712
57760	119616
57760	119136
57856	113984
57920	114400
58080	114656
58272	114496
58080	116640
58048	117088
58272	117568
58144	117888
58144	118624
58048	119552
58048	119072
58400	114144
58432	113760
58624	117312
58400	118208
58624	117792
58784	119456
59328	118368
59104	119456
59136	118944
59744	109184
59648	118656
59648	119328
59904	108704
59936	110880
60064	111392
60096	112448
60320	112832
60800	104448
60896	105024
