TRAPX	TRAPY
55264	111584
55232	111584
55264	111552
55264	111520
55232	111552
55200	111584
55168	111584
55200	111552
55232	111520
54880	111968
54912	111936
54944	111904
54976	111872
55008	111840
55040	111808
55072	111776
55104	111744
55136	111712
55168	111680
55200	111648
55232	111616
55264	111616
55200	111616
55168	111648
55136	111680
55104	111712
55072	111744
55040	111776
55008	111808
54976	111840
54944	111872
54912	111904
54880	111936
54848	111936
55168	111616
55136	111648
55104	111680
55072	111712
55040	111744
55008	111776
54976	111808
54944	111840
54912	111840
54912	111872
54912	111904
54880	111904
54880	111872
54944	111808
54976	111776
55008	111744
55040	111712
55072	111680
55104	111648
55136	111616
