NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
Huyền Bi	0	5130	3	5	135	1	20	20	20	20	20	1		51488	101536		1		
Tham Quan	0	5131	0	5	135	1	20	20	20	20	20	1		54720	102624		1		
Tham Quan	0	5131	0	5	135	1	20	20	20	20	20	1		55200	101696		1		
Tham Quan	0	5131	0	5	135	1	20	20	20	20	20	1		55264	102112		1		
Tham Quan	0	5131	0	5	135	1	20	20	20	20	20	1		55104	101920		1		
Tham Quan	0	5131	0	5	135	1	20	20	20	20	20	1		54976	102688		1		
Tham Quan	0	5131	0	5	135	1	20	20	20	20	20	1		55424	102144		1		
Tham Quan	0	5131	0	5	135	1	20	20	20	20	20	1		55392	101888		1		
Tham Quan	0	5131	0	5	135	1	20	20	20	20	20	1		55328	101568		1		
Tham Quan	0	5131	0	5	135	1	20	20	20	20	20	1		55648	102112		1		
Gian Thương	0	5132	0	5	135	1	20	20	20	20	20	1		55136	104352		1		
Gian Thương	0	5132	0	5	135	1	20	20	20	20	20	1		54784	104192		1		
Gian Thương	0	5132	0	5	135	1	20	20	20	20	20	1		55008	103936		1		
Gian Thương	0	5132	0	5	135	1	20	20	20	20	20	1		54912	104864		1		
Gian Thương	0	5132	0	5	135	1	20	20	20	20	20	1		55712	104384		1		
Gian Thương	0	5132	0	5	135	1	20	20	20	20	20	1		55744	103936		1		
Gian Thương	0	5132	0	5	135	1	20	20	20	20	20	1		55296	103968		1		
Gian Thương	0	5132	0	5	135	1	20	20	20	20	20	1		55456	105184		1		
Gian Thương	0	5132	0	5	135	1	20	20	20	20	20	1		55296	105216		1		
Gian Thương	0	5132	0	5	135	1	20	20	20	20	20	1		55648	105664		1		
Gian Thương	0	5132	0	5	135	1	20	20	20	20	20	1		55424	105536		1		
Hồ Cự Minh	0	5133	0	5	135	1	20	20	20	20	20	1		56576	103360		1		
Trúc Niên Niên	0	5134	3	5	135	1	20	20	20	20	20	1		49632	102528		1		
Vô Tưởng	0	5135	3	5	135	1	20	20	20	20	20	1		51840	101568		1		
Thiên Mục	0	5136	3	5	135	1	20	20	20	20	20	1		51904	101664		1		
Bạch Phủ Huyễn Cảnh	0	2525	4	5	90	1	20	20	20	20	20	1		50464	105824		1		
to_baifumengjing1	1															\setting\map\map_info\shanzhaimengjing\trap\to_baifumengjing1.txt			
Thân Thế Huyễn Cảnh	0	2525	4	5	90	1	20	20	20	20	20	1		54624	106304				
to_shenshimengjing	1															\setting\map\map_info\shanzhaimengjing\trap\to_shenshimengjing.txt			
