MapId	Id	IsDisable	PosType	Icon	PosX	PosY	Text	Size	Color	PosXDis	PosYDis
1	1	0	0	\image\ui\001a\minimap\yellowpoint.spr	109	148	Tiệm Binh Khí	12	yellow	0	4
1	2	0	0	\image\ui\001a\minimap\yellowpoint.spr	182	119	Tiệm Phòng Cụ	12	yellow	0	4
1	3	0	0	\image\ui\001a\minimap\yellowpoint.spr	219	104	Tiệm Trang Sức	12	yellow	0	4
1	4	0	0	\image\ui\001a\minimap\yellowpoint.spr	242	131	Tiệm Thuốc	12	yellow	-6	4
1	5	0	0	\image\ui\001a\minimap\yellowpoint.spr	267	137	Tiệm Tạp Hóa	12	yellow	5	4
1	6	0	0	\image\ui\001a\minimap\yellowpoint.spr	253	152	Tửu Lầu	12	yellow	-5	6
1	7	0	0	\image\ui\001a\minimap\yellowpoint.spr	294	179	Tiệm Gỗ	12	yellow	-4	4
1	8	0	0	\image\ui\001a\minimap\yellowpoint.spr	239	193	Tiệm Da	12	yellow	0	4
1	9	0	0	\image\ui\001a\minimap\yellowpoint.spr	152	182	Tiền Trang	12	yellow	0	4
1	10	0	0	\image\ui\001a\minimap\yellowpoint.spr	246	214	Bao Vạn Đồng	12	yellow	0	4
1	11	0	0	\image\ui\001a\minimap\yellowpoint.spr	396	178	Diệp Chỉ Lâm	12	yellow	0	4
1	12	0	0	\image\ui\001a\minimap\yellowpoint.spr	208	153	Bạch Thu Lâm	12	yellow	6	4
1	13	0	0	\image\ui\001a\minimap\yellowpoint.spr	340	176	Long Ngũ Thái Gia	12	yellow	6	4
1	14	0	0	\image\ui\001a\minimap\yellowpoint.spr	334	205	Tiếp Dẫn Thiếu Lâm	12	yellow	0	4
1	15	0	0	\image\ui\001a\minimap\yellowpoint.spr	297	219	Tiếp Dẫn Thiên Vương	12	yellow	0	4
1	16	0	0	\image\ui\001a\minimap\yellowpoint.spr	336	236	Tiếp Dẫn Đường Môn	12	yellow	-10	4
1	17	0	0	\image\ui\001a\minimap\yellowpoint.spr	374	231	Tiếp Dẫn Ngũ Độc	12	yellow	6	4
1	18	0	0	\image\ui\001a\minimap\yellowpoint.spr	375	259	Tiếp Dẫn Nga My	12	yellow	0	4
1	19	0	0	\image\ui\001a\minimap\yellowpoint.spr	412	252	Tiếp Dẫn Thúy Yên	12	yellow	0	-1
1	20	0	0	\image\ui\001a\minimap\yellowpoint.spr	448	253	Tiếp Dẫn Cái Bang	12	yellow	12	4
1	21	0	0	\image\ui\001a\minimap\yellowpoint.spr	436	279	Tiếp Dẫn Thiên Nhẫn	12	yellow	-10	2
1	22	0	0	\image\ui\001a\minimap\yellowpoint.spr	476	279	Tiếp Dẫn Võ Đang	12	yellow	10	4
1	23	0	0	\image\ui\001a\minimap\yellowpoint.spr	531	246	Tiếp Dẫn Côn Lôn	12	yellow	0	4
1	24	0	0	\image\ui\001a\minimap\yellowpoint.spr	552	206	Dã Luyện Đại Sư	12	yellow	0	4
1	25	0	0	\image\ui\001a\minimap\yellowpoint.spr	250	78	Thủ Khố	12	yellow	17	4
1	26	0	0	\image\ui\001a\minimap\yellowpoint.spr	554	300	Thủ Khố	12	yellow	20	4
1	27	0	0	\image\ui\001a\minimap\yellowpoint.spr	179	150	Thủ Khố	12	yellow	-13	4
1	28	0	0	\image\ui\001a\minimap\yellowpoint.spr	233	62	Xa Phu	12	yellow	10	4
1	29	0	0	\image\ui\001a\minimap\yellowpoint.spr	523	294	Xa Phu	12	yellow	0	4
1	30	0	0	\image\ui\001a\minimap\yellowpoint.spr	140	108	Lễ Quan	12	yellow	0	4
1	31	0	0	\image\ui\001a\minimap\yellowpoint.spr	488	230	Tiếp Dẫn Đoàn Thị	12	yellow	0	4
1	32	0	0	\image\ui\001a\minimap\yellowpoint.spr	448	204	Tiếp Dẫn Minh Giáo	12	yellow	0	4
1	33	0	0	\image\ui\001a\minimap\icon_south.spr	58	217	Biện Kinh Phủ	12	yellow	0	0
1	34	0	0	\image\ui\001a\minimap\icon_southeast.spr	582	326	Thiên Nhẫn Giáo	12	yellow	0	2
1	35	0	0	\image\ui\001a\minimap\icon_northwest.spr	158	56	Tát Mãn Giáo	12	yellow	0	2
1	36	0	0	\image\ui\001a\minimap\icon_northeast.spr	646	270	Chiến Trường Cổ [cấp 5]	12	yellow	0	0
1	37	0	0	\image\ui\001a\minimap\icon_east.spr	652	298	Trấn Đông Mộ Viên [cấp 15]	12	yellow	14	30
1	38	0	0	\image\ui\001a\minimap\yellowpoint.spr	180	220	Sứ Giả Hoạt Động	12	yellow	0	3
1	39	0	0	\image\ui\001a\minimap\yellowpoint.spr	308	104	Thương Nhân Đặc Sản	12	yellow	0	4
1	40	0	0	\image\ui\001a\minimap\icon_northwest.spr	214	50	Sắc Lặc Xuyên [cấp 95]	12	yellow	0	2
1	41	0	0	\image\ui\001a\minimap\yellowpoint.spr	600	202	Truyền Tống Quân Doanh	12	yellow	16	4
1	42	0	0	\image\ui\001a\minimap\yellowpoint.spr	511	180	Án Nhược Tuyết	12	yellow	0	4
1	43	0	0	\image\ui\001a\minimap\yellowpoint.spr	66	174	Tần Oa	12	yellow	0	4
1	44	0	0	\image\ui\001a\minimap\yellowpoint.spr	458	150	Gia Tộc Chiêu Mộ Sứ	12	yellow	0	4
1	45	1	1	\image\ui\001a\minimap\yellowpoint.spr	1338	3051	Diệp Hiểu Thoa	12	yellow	-2	4
2	1	0	0	\image\ui\001a\minimap\yellowpoint.spr	360	397	Tiệm Binh Khí	12	yellow	0	4
2	2	0	0	\image\ui\001a\minimap\yellowpoint.spr	387	383	Tiệm Phòng Cụ	12	yellow	-5	4
2	3	0	0	\image\ui\001a\minimap\yellowpoint.spr	409	380	Tiệm Trang Sức	12	yellow	10	4
2	4	0	0	\image\ui\001a\minimap\yellowpoint.spr	428	401	Tiệm Thuốc	12	yellow	-6	4
2	5	0	0	\image\ui\001a\minimap\yellowpoint.spr	444	408	Tiệm Tạp Hóa	12	yellow	14	4
2	6	0	0	\image\ui\001a\minimap\yellowpoint.spr	482	373	Tửu Lầu	12	yellow	0	4
2	7	0	0	\image\ui\001a\minimap\yellowpoint.spr	639	402	Tiệm Gỗ	12	yellow	0	4
2	8	0	0	\image\ui\001a\minimap\yellowpoint.spr	631	356	Tiệm Da	12	yellow	0	4
2	9	0	0	\image\ui\001a\minimap\yellowpoint.spr	510	406	Tiền Trang	12	yellow	0	4
2	10	0	0	\image\ui\001a\minimap\yellowpoint.spr	366	454	Bao Vạn Đồng	12	yellow	0	4
2	11	0	0	\image\ui\001a\minimap\yellowpoint.spr	399	522	Diệp Chỉ Lâm	12	yellow	0	4
2	12	0	0	\image\ui\001a\minimap\yellowpoint.spr	420	440	Bạch Thu Lâm	12	yellow	0	4
2	13	0	0	\image\ui\001a\minimap\yellowpoint.spr	475	472	Long Ngũ Thái Gia	12	yellow	0	4
2	14	0	0	\image\ui\001a\minimap\yellowpoint.spr	522	485	Tiếp Dẫn Thiếu Lâm	12	yellow	0	4
2	15	0	0	\image\ui\001a\minimap\yellowpoint.spr	548	497	Tiếp Dẫn Thiên Vương	12	yellow	-10	27
2	16	0	0	\image\ui\001a\minimap\yellowpoint.spr	577	526	Tiếp Dẫn Đường Môn	12	yellow	-5	27
2	17	0	0	\image\ui\001a\minimap\yellowpoint.spr	586	504	Tiếp Dẫn Ngũ Độc	12	yellow	-4	27
2	18	0	0	\image\ui\001a\minimap\yellowpoint.spr	611	507	Tiếp Dẫn Nga My	12	yellow	10	4
2	19	0	0	\image\ui\001a\minimap\yellowpoint.spr	615	485	Tiếp Dẫn Thúy Yên	12	yellow	0	4
2	20	0	0	\image\ui\001a\minimap\yellowpoint.spr	616	462	Tiếp Dẫn Cái Bang	12	yellow	0	4
2	21	0	0	\image\ui\001a\minimap\yellowpoint.spr	656	467	Tiếp Dẫn Thiên Nhẫn	12	yellow	10	4
2	22	0	0	\image\ui\001a\minimap\yellowpoint.spr	668	446	Tiếp Dẫn Võ Đang	12	yellow	-10	4
2	23	0	0	\image\ui\001a\minimap\yellowpoint.spr	699	447	Tiếp Dẫn Côn Lôn	12	yellow	10	4
2	24	0	0	\image\ui\001a\minimap\icon_southeast.spr	356	606	Phượng Tường Phủ	12	yellow	0	2
2	25	0	0	\image\ui\001a\minimap\icon_south.spr	234	604	Côn Lôn Phái	12	yellow	0	0
2	26	0	0	\image\ui\001a\minimap\icon_west.spr	62	428	Quán Trọ Long Môn [cấp 5]	12	yellow	0	4
2	27	0	0	\image\ui\001a\minimap\icon_southwest.spr	55	553	Kỳ Liên Sơn [cấp 15]	12	yellow	0	3
2	28	0	0	\image\ui\001a\minimap\yellowpoint.spr	521	314	Dã Luyện Đại Sư	12	yellow	0	4
2	29	0	0	\image\ui\001a\minimap\yellowpoint.spr	496	512	Thuyền Phu	12	yellow	0	4
2	30	0	0	\image\ui\001a\minimap\yellowpoint.spr	232	230	Thủ Khố	12	yellow	-20	4
2	31	0	0	\image\ui\001a\minimap\yellowpoint.spr	277	472	Thủ Khố	12	yellow	0	4
2	32	0	0	\image\ui\001a\minimap\yellowpoint.spr	348	426	Thủ Khố	12	yellow	0	4
2	33	0	0	\image\ui\001a\minimap\yellowpoint.spr	255	232	Xa Phu	12	yellow	0	4
2	34	0	0	\image\ui\001a\minimap\yellowpoint.spr	231	472	Xa Phu	12	yellow	-3	4
2	35	0	0	\image\ui\001a\minimap\yellowpoint.spr	385	330	Lễ Quan	12	yellow	0	4
2	36	0	0	\image\ui\001a\minimap\yellowpoint.spr	518	444	Tiếp Dẫn Đoàn Thị	12	yellow	0	4
2	37	0	0	\image\ui\001a\minimap\yellowpoint.spr	558	424	Tiếp Dẫn Minh Giáo	12	yellow	0	4
2	38	0	0	\image\ui\001a\minimap\yellowpoint.spr	550	398	Sứ Giả Hoạt Động	12	yellow	0	3
2	39	0	0	\image\ui\001a\minimap\yellowpoint.spr	566	356	Thương Nhân Đặc Sản	12	yellow	0	4
2	40	0	0	\image\ui\001a\minimap\icon_north.spr	170	66	Gia Dụ Quan [cấp 95]	12	yellow	0	2
2	41	0	0	\image\ui\001a\minimap\yellowpoint.spr	334	356	Truyền Tống Quân Doanh	12	yellow	0	4
2	42	0	0	\image\ui\001a\minimap\icon_northwest.spr	100	188	Đôn Hoàng Cổ Thành [cấp 105]	12	yellow	0	2
2	43	0	0	\image\ui\001a\minimap\icon_northwest.spr	178	294	Nguyệt Nha Tuyền [cấp 115]	12	yellow	-6	2
2	44	0	0	\image\ui\001a\minimap\yellowpoint.spr	426	344	Án Nhược Tuyết	12	yellow	0	4
2	45	0	0	\image\ui\001a\minimap\yellowpoint.spr	217	528	Tần Oa	12	yellow	0	4
2	46	0	0	\image\ui\001a\minimap\yellowpoint.spr	338	484	Gia Tộc Chiêu Mộ Sứ	12	yellow	0	4
2	47	1	1	\image\ui\001a\minimap\yellowpoint.spr	1761	3471	Diệp Hiểu Thoa	12	yellow	-5	10
3	1	0	0	\image\ui\001a\minimap\yellowpoint.spr	433	147	Tiệm Binh Khí	12	yellow	0	4
3	2	0	0	\image\ui\001a\minimap\yellowpoint.spr	457	163	Tiệm Phòng Cụ	12	yellow	0	4
3	3	0	0	\image\ui\001a\minimap\yellowpoint.spr	489	177	Tiệm Trang Sức	12	yellow	0	4
3	4	0	0	\image\ui\001a\minimap\yellowpoint.spr	547	195	Tiệm Thuốc	12	yellow	0	4
3	5	0	0	\image\ui\001a\minimap\yellowpoint.spr	309	291	Tiệm Tạp Hóa	12	yellow	8	4
3	6	0	0	\image\ui\001a\minimap\yellowpoint.spr	293	279	Tửu Lầu	12	yellow	-4	4
3	7	0	0	\image\ui\001a\minimap\yellowpoint.spr	232	302	Tiệm Gỗ	12	yellow	0	4
3	8	0	0	\image\ui\001a\minimap\yellowpoint.spr	164	264	Tiệm Da	12	yellow	0	2
3	9	0	0	\image\ui\001a\minimap\yellowpoint.spr	550	247	Tiền Trang	12	yellow	0	5
3	10	0	0	\image\ui\001a\minimap\yellowpoint.spr	366	197	Bao Vạn Đồng	12	yellow	0	4
3	11	0	0	\image\ui\001a\minimap\yellowpoint.spr	513	268	Diệp Chỉ Lâm	12	yellow	0	4
3	12	0	0	\image\ui\001a\minimap\yellowpoint.spr	257	217	Bạch Thu Lâm	12	yellow	-10	4
3	13	0	0	\image\ui\001a\minimap\yellowpoint.spr	396	214	Long Ngũ Thái Gia	12	yellow	0	4
3	14	0	0	\image\ui\001a\minimap\yellowpoint.spr	66	295	Tiếp Dẫn Thiếu Lâm	12	yellow	0	4
3	15	0	0	\image\ui\001a\minimap\yellowpoint.spr	82	326	Tiếp Dẫn Thiên Vương	12	yellow	0	4
3	16	0	0	\image\ui\001a\minimap\yellowpoint.spr	136	324	Tiếp Dẫn Đường Môn	12	yellow	0	4
3	17	0	0	\image\ui\001a\minimap\yellowpoint.spr	110	352	Tiếp Dẫn Ngũ Độc	12	yellow	0	4
3	18	0	0	\image\ui\001a\minimap\yellowpoint.spr	152	363	Tiếp Dẫn Nga My	12	yellow	0	4
3	19	0	0	\image\ui\001a\minimap\yellowpoint.spr	186	347	Tiếp Dẫn Thúy Yên	12	yellow	0	4
3	20	0	0	\image\ui\001a\minimap\yellowpoint.spr	293	376	Tiếp Dẫn Cái Bang	12	yellow	0	4
3	21	0	0	\image\ui\001a\minimap\yellowpoint.spr	328	392	Tiếp Dẫn Thiên Nhẫn	12	yellow	0	4
3	22	0	0	\image\ui\001a\minimap\yellowpoint.spr	372	416	Tiếp Dẫn Võ Đang	12	yellow	0	4
3	23	0	0	\image\ui\001a\minimap\yellowpoint.spr	378	380	Tiếp Dẫn Côn Lôn	12	yellow	0	4
3	24	0	0	\image\ui\001a\minimap\icon_northeast.spr	874	134	Thiếu Lâm Phái	12	yellow	0	2
3	25	0	0	\image\ui\001a\minimap\icon_southeast.spr	610	410	Tương Dương Phủ	12	yellow	0	2
3	26	0	0	\image\ui\001a\minimap\icon_north.spr	546	57	Đồng Quan [cấp 15]	12	yellow	0	3
3	27	0	0	\image\ui\001a\minimap\icon_southeast.spr	488	405	Võ Đang Phái	12	yellow	0	2
3	28	0	0	\image\ui\001a\minimap\yellowpoint.spr	361	169	Dã Luyện Đại Sư	12	yellow	0	4
3	29	0	0	\image\ui\001a\minimap\yellowpoint.spr	405	271	Lễ Quan	12	yellow	0	4
3	30	0	0	\image\ui\001a\minimap\yellowpoint.spr	488	349	Thủ Khố	12	yellow	16	4
3	31	0	0	\image\ui\001a\minimap\yellowpoint.spr	251	171	Thủ Khố	12	yellow	-10	4
3	32	0	0	\image\ui\001a\minimap\icon_northeast.spr	766	116	Quân Mã Trường [cấp 5]	12	yellow	0	2
3	33	0	0	\image\ui\001a\minimap\yellowpoint.spr	457	351	Xa Phu	12	yellow	-4	4
3	34	0	0	\image\ui\001a\minimap\yellowpoint.spr	300	174	Xa Phu	12	yellow	0	4
3	35	0	0	\image\ui\001a\minimap\yellowpoint.spr	340	360	Tiếp Dẫn Đoàn Thị	12	yellow	0	4
3	36	0	0	\image\ui\001a\minimap\yellowpoint.spr	306	347	Tiếp Dẫn Minh Giáo	12	yellow	0	4
3	37	0	0	\image\ui\001a\minimap\yellowpoint.spr	644	214	Thủ Khố	12	yellow	0	4
3	38	0	0	\image\ui\001a\minimap\yellowpoint.spr	664	176	Xa Phu	12	yellow	0	4
3	39	0	0	\image\ui\001a\minimap\yellowpoint.spr	240	250	Sứ Giả Hoạt Động	12	yellow	0	3
3	40	0	0	\image\ui\001a\minimap\yellowpoint.spr	202	202	Thương Nhân Đặc Sản	12	yellow	0	4
3	41	0	0	\image\ui\001a\minimap\icon_northwest.spr	428	58	Hoa Sơn [cấp 95]	12	yellow	0	2
3	42	0	0	\image\ui\001a\minimap\yellowpoint.spr	277	207	Truyền Tống Quân Doanh	12	yellow	20	4
3	43	0	0	\image\ui\001a\minimap\icon_northwest.spr	167	133	Tàn Tích Cung A Phòng [cấp 115]	12	yellow	0	2
3	44	0	0	\image\ui\001a\minimap\yellowpoint.spr	352	230	Án Nhược Tuyết	12	yellow	0	4
3	45	0	0	\image\ui\001a\minimap\yellowpoint.spr	492	120	Tần Oa	12	yellow	0	4
3	46	0	0	\image\ui\001a\minimap\yellowpoint.spr	490	226	Gia Tộc Chiêu Mộ Sứ	12	yellow	0	4
3	47	1	1	\image\ui\001a\minimap\yellowpoint.spr	1666	3252	Diệp Hiểu Thoa	12	yellow	16	10
4	1	0	0	\image\ui\001a\minimap\yellowpoint.spr	235	228	Tiệm Binh Khí	12	yellow	0	4
4	2	0	0	\image\ui\001a\minimap\yellowpoint.spr	276	204	Tiệm Phòng Cụ	12	yellow	0	4
4	3	0	0	\image\ui\001a\minimap\yellowpoint.spr	341	254	Tiệm Trang Sức	12	yellow	0	4
4	4	0	0	\image\ui\001a\minimap\yellowpoint.spr	405	210	Tiệm Thuốc	12	yellow	0	4
4	5	0	0	\image\ui\001a\minimap\yellowpoint.spr	433	210	Tiệm Tạp Hóa	12	yellow	6	4
4	6	0	0	\image\ui\001a\minimap\yellowpoint.spr	467	222	Tửu Lầu	12	yellow	0	4
4	7	0	0	\image\ui\001a\minimap\yellowpoint.spr	357	318	Tiệm Gỗ	12	yellow	-7	4
4	8	0	0	\image\ui\001a\minimap\yellowpoint.spr	279	278	Tiệm Da	12	yellow	0	4
4	9	0	0	\image\ui\001a\minimap\yellowpoint.spr	210	212	Tiền Trang	12	yellow	0	4
4	10	0	0	\image\ui\001a\minimap\yellowpoint.spr	358	232	Bao Vạn Đồng	12	yellow	0	4
4	11	0	0	\image\ui\001a\minimap\yellowpoint.spr	313	102	Diệp Chỉ Lâm	12	yellow	0	4
4	12	0	0	\image\ui\001a\minimap\yellowpoint.spr	399	258	Bạch Thu Lâm	12	yellow	0	4
4	13	0	0	\image\ui\001a\minimap\yellowpoint.spr	432	238	Long Ngũ Thái Gia	12	yellow	0	4
4	14	0	0	\image\ui\001a\minimap\yellowpoint.spr	395	172	Tiếp Dẫn Thiếu Lâm	12	yellow	0	4
4	15	0	0	\image\ui\001a\minimap\yellowpoint.spr	440	166	Tiếp Dẫn Thiên Vương	12	yellow	0	4
4	16	0	0	\image\ui\001a\minimap\yellowpoint.spr	403	138	Tiếp Dẫn Đường Môn	12	yellow	0	4
4	17	0	0	\image\ui\001a\minimap\yellowpoint.spr	457	138	Tiếp Dẫn Ngũ Độc	12	yellow	0	4
4	18	0	0	\image\ui\001a\minimap\yellowpoint.spr	519	148	Tiếp Dẫn Nga My	12	yellow	0	4
4	19	0	0	\image\ui\001a\minimap\yellowpoint.spr	559	180	Tiếp Dẫn Thúy Yên	12	yellow	0	4
