10	Phượng Tường Phủ	Thành Đô Phủ	Đại Lý Phủ	Biện Kinh Phủ	Tương Dương Phủ	Dương Châu Phủ	Lâm An Phủ	Giang Tân Thôn	Long Môn Trấn	Ba Lăng Huyện	南岳镇	Long Tuyền Thôn	Đạo Hương Thôn	Vĩnh Lạc Trấn	朱仙镇	Thạch Cổ Trấn	EXLong Tuyền Thôn
Phượng Tường Phủ	-1	20	50	30	30	40	50	-1	20	-1	-1	-1	-1	10	-1	-1	10
Thành Đô Phủ	20	-1	30	30	30	40	50	10	-1	-1	-1	-1	-1	-1	-1	-1	10
Đại Lý Phủ	50	30	-1	50	40	50	50	20	-1	-1	-1	-1	-1	-1	-1	10	10
Biện Kinh Phủ	30	30	50	-1	20	30	50	-1	-1	-1	-1	-1	-1	-1	10	-1	10
Tương Dương Phủ	30	30	40	20	-1	20	30	-1	-1	20	-1	-1	10	-1	-1	-1	10
Dương Châu Phủ	40	40	50	30	20	-1	20	-1	-1	-1	-1	-1	10	-1	-1	-1	10
Lâm An Phủ	50	50	50	50	30	20	-1	-1	-1	-1	-1	20	-1	-1	-1	-1	10
Giang Tân Thôn	-1	10	20	-1	-1	-1	-1	-1	-1	20	-1	-1	-1	-1	-1	-1	10
Long Môn Trấn	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10
Ba Lăng Huyện	-1	-1	-1	-1	20	-1	-1	20	-1	-1	10	-1	-1	-1	-1	-1	10
南岳镇	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	10
Long Tuyền Thôn	-1	-1	-1	-1	-1	-1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	10
Đạo Hương Thôn	-1	-1	-1	-1	10	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10
Vĩnh Lạc Trấn	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10
朱仙镇	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10
Thạch Cổ Trấn	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10
EXLong Tuyền Thôn	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	-1
