Money	BindMoney	Genre	Detail	Particular	Level	RandRate	LuckyRate	Name
		18	1	1	3	433700		3级玄晶
		18	1	1	4	100000		4级玄晶
		18	1	1	5	50000		5级玄晶
		18	1	1	6	10000		6级玄晶
		18	1	1	7	1000		7级玄晶
		18	1	1	8	100		8级玄晶
		2	1	867	6	300		刀昆烈焰刀（6级橙装PvsP）
		2	1	507	6	4300		刀昆烈焰刀（6级紫装PvsP）
		2	1	866	5	600		刀昆月牙刀（5级橙装PvsP）
		2	1	506	5	8600		刀昆月牙刀（5级紫装PvsP）
		2	1	896	5	600		剑昆龙泉剑（5级橙装PvsP）
		2	1	536	5	8600		剑昆龙泉剑（5级紫装PvsP）
		2	1	897	6	300		剑昆万仞剑（6级橙装PvsP）
		2	1	537	6	4300		剑昆万仞剑（6级紫装PvsP）
		2	1	876	5	600		剑武龙泉剑（5级橙装PvsP）
		2	1	516	5	8600		剑武龙泉剑（5级紫装PvsP）
		2	1	877	6	300		剑武万仞剑（6级橙装PvsP）
		2	1	517	6	4300		剑武万仞剑（6级紫装PvsP）
500						300000		金钱500
5000						50000		金钱5000
		2	1	886	5	600		气武穿云缠手（5级橙装PvsP）
		2	1	526	5	8600		气武穿云缠手（5级紫装PvsP）
		2	1	887	6	300		气武含光缠手（6级橙装PvsP）
		2	1	527	6	4300		气武含光缠手（6级紫装PvsP）
