Name	DataID	Kind	ClassName	ImageName	SoundName	LifeTime	Height	ImageTotalFrame	ImageCurFrame	ImageTotalDir	ImageCurDir	ImageInterval	ImageCgXpos	ImageCgYpos	ImageDropName	ImageDropTotalFrame	ImageDropCurFrame	ImageDropTotalDir	ImageDropCurDir	ImageDropInterval (Giãn cách frame）	ImageDropCgXpos	ImageDropCgYpos	IsUnseen	ObstacleKind	LoopAnimation
Huyền Tinh 1	1	Item		\image\item\obj\other\f_xuanjing_suipian.spr	\audio\obj\si023.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\other\xuanjing_suipian.spr	10	0	1	0	18	70	110	0	0	0
Huyền Tinh 2	2	Item		\image\item\obj\other\f_xuanjing_canpian.spr	\audio\obj\si023.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\other\xuanjing_canpian.spr	10	0	1	0	18	70	110	0	0	0
Huyền Tinh 3	3	Item		\image\item\obj\other\f_xuanjing_weidiaozhuo.spr	\audio\obj\si023.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\other\xuanjing_weidiaozhuo.spr	10	0	1	0	18	70	110	0	0	0
Huyền Tinh 4	4	Item		\image\item\obj\other\f_xuanjing_youliehen.spr	\audio\obj\si023.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\other\xuanjing_youliehen.spr	10	0	1	0	18	70	110	0	0	0
Huyền Tinh 5	5	Item		\image\item\obj\other\f_xuanjing_putong.spr	\audio\obj\si023.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\other\xuanjing_putong.spr	10	0	1	0	18	70	110	0	0	0
Huyền Tinh 6	6	Item		\image\item\obj\other\f_xuanjing_youxiaci.spr	\audio\obj\si023.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\other\xuanjing_youxiaci.spr	10	0	1	0	18	70	110	0	0	0
Huyền Tinh 7	7	Item		\image\item\obj\other\f_xuanjing_wuxia.spr	\audio\obj\si023.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\other\xuanjing_wuxia.spr	10	0	1	0	18	70	110	0	0	0
Huyền Tinh 8	8	Item		\image\item\obj\other\f_xuanjing_wanmei.spr	\audio\obj\si023.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\other\xuanjing_wanmei.spr	10	0	1	0	18	70	110	0	0	0
Kiếm	9	Item		\image\item\obj\equip\f_jian.spr	\audio\obj\si003.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\equip\jian.spr	10	0	1	0	18	70	110	0	0	0
Đao	10	Item		\image\item\obj\equip\f_dao.spr	\audio\obj\si003.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\equip\dao.spr	10	0	1	0	18	70	110	0	0	0
Côn	11	Item		\image\item\obj\equip\f_gun.spr	\audio\obj\si003.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\equip\gun.spr	10	0	1	0	18	70	110	0	0	0
Thương	12	Item		\image\item\obj\equip\f_qiang.spr	\audio\obj\si003.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\equip\qiang.spr	10	0	1	0	18	70	110	0	0	0
Triền Thủ	13	Item		\image\item\obj\equip\f_chanshou.spr	\audio\obj\si003.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\equip\chanshou.spr	10	0	1	0	18	70	110	0	0	0
Chùy	14	Item		\image\item\obj\equip\f_chuizi.spr	\audio\obj\si003.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\equip\chuizi.spr	10	0	1	0	18	70	110	0	0	0
Phi tiêu	15	Item		\image\item\obj\equip\f_feibiao.spr	\audio\obj\si003.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\equip\feibiao.spr	10	0	1	0	18	70	110	0	0	0
Phi đao	16	Item		\image\item\obj\equip\f_feidao.spr	\audio\obj\si003.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\equip\feidao.spr	10	0	1	0	18	70	110	0	0	0
Tụ tiễn	17	Item		\image\item\obj\equip\f_xiujian.spr	\audio\obj\si003.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\equip\xiujian.spr	10	0	1	0	18	70	110	0	0	0
Nón nam	18	Item		\image\item\obj\equip\f_nanmaozi.spr	\audio\obj\si002.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\equip\nanmaozi.spr	10	0	1	0	18	70	110	0	0	0
Nón nữ	19	Item		\image\item\obj\equip\f_nvmaozi.spr	\audio\obj\si002.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\equip\nvmaozi.spr	10	0	1	0	18	70	110	0	0	0
Áo nam	20	Item		\image\item\obj\equip\f_nanyifu.spr	\audio\obj\si002.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\equip\nanyifu.spr	10	0	1	0	18	70	110	0	0	0
Áo nữ	21	Item		\image\item\obj\equip\f_nvyifu.spr	\audio\obj\si002.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\equip\nvyifu.spr	10	0	1	0	18	70	110	0	0	0
Giày	22	Item		\image\item\obj\equip\f_xiezi.spr	\audio\obj\si002.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\equip\xiezi.spr	10	0	1	0	18	70	110	0	0	0
Tay	23	Item		\image\item\obj\equip\f_huwan.spr	\audio\obj\si002.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\equip\huwan.spr	10	0	1	0	18	70	110	0	0	0
Thủ Trạc	24	Item		\image\item\obj\equip\f_shouzhuo.spr	\audio\obj\si002.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\equip\shouzhuo.spr	10	0	1	0	18	70	110	0	0	0
Phù	25	Item		\image\item\obj\equip\f_hushenfu.spr	\audio\obj\si004.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\equip\hushenfu.spr	10	0	1	0	18	70	110	0	0	0
Ngọc bội	26	Item		\image\item\obj\equip\f_yupei.spr	\audio\obj\si004.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\equip\yupei.spr	10	0	1	0	18	70	110	0	0	0
Hương Nang	27	Item		\image\item\obj\equip\f_xiangnang.spr	\audio\obj\si004.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\equip\xiangnang.spr	10	0	1	0	18	70	110	0	0	0
Lưng	28	Item		\image\item\obj\equip\f_yaodai.spr	\audio\obj\si002.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\equip\yaodai.spr	10	0	1	0	18	70	110	0	0	0
Nhẫn	29	Item		\image\item\obj\equip\f_jiezhi.spr	\audio\obj\si004.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\equip\jiezhi.spr	10	0	1	0	18	70	110	0	0	0
Liên	30	Item		\image\item\obj\equip\f_xianglian.spr	\audio\obj\si004.wav	2400	8	1	0	1	0	18	70	110	\image\item\obj\equip\xianglian.spr	10	0	1	0	18	70	110	0	0	0
