RandomSkillTemplateId	SkillId	Series	Rate
1	1491	-1	10
1	1502	-1	10
1	1508	-1	10
1	1510	-1	10
1	1512	-1	10
1	1514	-1	10
1	1516	-1	10
2	1492	4	10
2	1493	1	10
2	1494	5	10
2	1495	3	10
2	1496	2	10
2	1503	4	10
2	1504	1	10
2	1505	5	10
2	1506	3	10
2	1507	2	10
2	1509	-1	10
2	1511	-1	10
2	1513	-1	10
2	1515	-1	10
2	1517	1	10
2	1518	2	10
2	1519	3	10
2	1520	4	10
2	1521	5	10
2	1522	-1	10
3	1492	4	10
3	1493	1	10
3	1494	5	10
3	1495	3	10
3	1496	2	10
3	1511	-1	10
3	1513	-1	10
3	1515	-1	10
3	1522	-1	10
8	1497	4	10
8	1498	1	10
8	1499	5	10
8	1500	3	10
8	1501	2	10
8	1503	4	10
8	1504	1	10
8	1505	5	10
8	1506	3	10
8	1507	2	10
8	1511	-1	10
8	1513	-1	10
8	1515	-1	10
8	1517	1	10
8	1518	2	10
8	1519	3	10
8	1520	4	10
8	1521	5	10
8	1522	-1	10
9	1503	4	10
9	1504	1	10
9	1505	5	10
9	1506	3	10
9	1507	2	10
9	1511	-1	10
9	1513	-1	10
9	1515	-1	10
9	1522	-1	10
