TotalFile:3900	PakTime:2010-4-26 18:54:34	PakTimeSave:4bd570ea	CRC:9ac01ea
Index	ID	Time	FileName	Size	InPakSize	ComprFlag	CRC
0	6a54a	2007-10-16 16:4:12	\setting\map\map_info\tianlongsi\trap\to_shanzhaishinei1.txt	181	84	4	466a4c87
1	8903c	2008-3-18 9:17:29	\setting\map\map_info\kunlunpai\trap\to_longmenzhen.txt	143	76	4	4a6c9bba
2	49beb6	2008-8-21 11:28:16	\setting\map\map_info\jianjudong\trap\to_shugangmijing.txt	143	81	4	fce64831
3	5f99a3	2009-1-4 9:57:46	\setting\map\map_info\qingluodao\info.txt	5792	1543	4	f28ed50f
4	7a9ccc	2009-3-13 9:43:38	\setting\npc\droprate\domainbattle\jiangling.txt	259	165	4	25a44494
5	b508a3	2008-3-24 17:37:55	\setting\map\map_info\jianxingfeng\npc\kunlundizi.txt	321	193	4	f4c07363
6	c7445b	2009-12-25 17:29:52	\setting\mission\gbwlls\league_award\award_session_4_lv2.txt	1423	451	4	267e8c1e
7	cf8cae	2009-1-4 9:55:34	\setting\map\map_info\longhuhuanjing_1_tycjs1\info.txt	470	319	4	19791e3c
8	e8faa6	2007-8-23 18:59:57	\setting\map\map_info\shugangshan\npc\area3.txt	2757	1192	4	b1f829e3
9	f6b1f1	2009-1-4 10:0:58	\setting\map\map_info\tiesuozhanqiao_dali\info.txt	473	267	4	6f19ed90
10	fb22d6	2008-5-24 15:14:53	\setting\map\map_info\qingluodao_cang3\trap\to_2ceng.txt	125	66	4	2270e23c
11	10edabd	2010-4-14 12:3:13	\setting\event\youlongmibao\youlongmibao_rate.txt	1938	813	4	d0eb90e6
12	1157af9	2008-5-22 16:16:23	\setting\battle\map\xibei\houying3chuwuxiang.txt	35	35	0	5867f568
13	15b9339	2008-11-11 18:16:46	\setting\npc\droprate\droprate005_shouling.txt	2146	675	4	c73241fe
14	193c6fb	2009-12-25 17:29:52	\setting\mission\gbwlls\league_award\award_session_6_type.txt	140	106	4	b954ea46
15	1a28575	2008-4-15 14:11:38	\setting\map\map_info\juyanze\npc\area2.txt	1147	545	4	4ac3abae
16	1c66086	2008-8-21 11:28:30	\setting\map\map_info\yunzhongzhen\trap\to_chilechuan.txt	273	120	4	b4579d17
17	1c99f71	2007-6-14 14:4:40	\setting\map\map_info\jiangeshudao_shinei\trap\to_meiyizhi.txt	251	103	4	f869a6b9
18	1df2b59	2008-3-17 20:54:42	\setting\map\map_info\talin_2\npc\area4.txt	1315	569	4	879f177f
