MAPID	POSX	POSY
55	1814	3461
15	1585	3340
60	1496	2991
60	1436	2748
20	1612	3016
74	1824	3376
74	1729	3567
74	1787	3561
74	1660	3420
74	1755	3244
74	1854	3563
51	1609	3456
14	1465	2971
18	1596	3150
63	1822	3413
63	1687	3418
17	1533	2998
72	2280	3425
72	2199	3401
472	1657	3170
473	1635	3240
48	1783	3444
48	1759	3193
59	1434	2584
59	1409	2913
59	1527	2838
9	1791	3109
66	1819	3565
66	1867	3892
66	1614	3540
445	1614	3540
10	1708	3248
67	1577	3380
67	1453	3335
67	1584	3311
511	1608	3186
514	1612	3187
29	1423	3950
88	1876	3823
18	1649	3050
94	1877	3476
94	1735	3820
95	1829	3814
99	1595	3022
98	1837	3703
98	1834	3256
104	1838	3591
104	1797	3524
104	1894	3332
104	1654	3504
106	1675	3670
106	1894	3676
102	1596	3217
101	1809	3693
101	1816	3429
