TaskId	TaskName	TaskType	Value1	Value2	MapId	MapName	NpcId	NpcName	Num	Level1	Level2	Level3	Level4	Level5	Level6	Level7	Level8	Level9	Level10	Level11
Số nhiệm vụ	Tên nhân vật	Loại nhiệm vụ	Giá trị 1	Giá trị 2	Số bản đồ	Tên bản đồ	NpcId	Tên Npc	Số lượng	Cấp 1	Cấp 2	Cấp 3	Cấp 4	Cấp 5	Cấp 6	Cấp 7	Cấp 8	Cấp 9	Cấp 10	Cấp 11
20001	Phạm Giới Tăng Nhân	KillNpc	0	1250	46	Cấm Địa Hậu Sơn	2054	Phạm Giới Tăng Nhân	24	10000	0	0	0	0	0	0	0	0	0	0
20002	Phạm Giới Đầu Đà	KillNpc	0	1250	46	Cấm Địa Hậu Sơn	2055	Phạm Giới Đầu Đà	24	10000	0	0	0	0	0	0	0	0	0	0
20003	Lam Diện Nhân	KillNpc	0	1250	49	Thiên Trụ Phong	2036	Lam Diện Nhân	24	10000	0	0	0	0	0	0	0	0	0	0
20004	Hồng Cân Nhân	KillNpc	0	1250	49	Thiên Trụ Phong	2035	Hồng Cân Nhân	24	10000	0	0	0	0	0	0	0	0	0	0
20005	Gián Điệp Kim Quốc	KillNpc	0	1250	49	Thiên Trụ Phong	2207	Gián Điệp Kim Quốc	24	10000	0	0	0	0	0	0	0	0	0	0
20006	Đệ Tử Bái Sư	KillNpc	0	1250	49	Thiên Trụ Phong	2208	Đệ Tử Bái Sư	24	10000	0	0	0	0	0	0	0	0	0	0
20007	Quải Tử	KillNpc	0	1250	52	Bách Hoa Cốc	2209	Quải Tử	24	10000	0	0	0	0	0	0	0	0	0	0
20008	Đại Phu Mông Cổ	KillNpc	0	1250	52	Bách Hoa Cốc	2210	Đại Phu Mông Cổ	24	10000	0	0	0	0	0	0	0	0	0	0
20009	Đao Khách Giang Hồ	KillNpc	0	1250	52	Bách Hoa Cốc	2037	Đao Khách Giang Hồ	24	10000	0	0	0	0	0	0	0	0	0	0
20010	Kiếm Khách Giang Hồ	KillNpc	0	1250	52	Bách Hoa Cốc	2038	Kiếm Khách Giang Hồ	24	10000	0	0	0	0	0	0	0	0	0	0
