TaskId	TaskName	Level1	Level2	Level3	Level4	Level5	Level6	Level7	Level8	Level9	Level10
ID nhiệm vụ	Tên nhiệm vụ	Cấp 1	Cấp 2	Cấp 3	Cấp 4	Cấp 5	Cấp 6	Cấp 7	Cấp 8	Cấp 9	Cấp 10
131	Thu thập 1 Thỏi thiếc (khoáng cấp 2)	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
132	Thu thập 1 Vải hoàng ma (vải cấp 2)	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
133	Thu thập 1 Bột kết cánh (dược cấp 2)	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
134	Thu thập 1 Tấm gỗ táo (gỗ cấp 2)	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
135	Thu thập 1 Da hươu (da cấp 2)	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
136	Thu thập 1 Thỏi thiết (khoáng cấp 3)	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
137	Thu thập 1 Vải đằng cát (vải cấp 3)	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
138	Thu thập 1 Bột sài hồ (dược cấp 3)	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
139	Thu thập 1 Tấm gỗ bách (gỗ cấp 3)	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
13a	Thu thập 1 Da bò (da cấp 3)	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
