Id	QuestionContent	Answer_A	Answer_B	Answer_C	Answer_D	CorrectIdx	QuestionPic
1	Kiếm Hiệp Tình Duyên do bộ phận nào nghiên cứu và phát triển?	Liệt Hỏa	Thái Kình	Tây Sơn Cư	Á Đinh	3	\image\ui\ui1\tasksystem\award\award_money.spr
2	Người có dấu chấm than trên đầu biểu thị?	Có nhiệm vụ có thể giao	Có nhiệm vụ có thể nhận	Là 1 biểu cảm	Hắn rất phẫn nộ	2	
3	Nhấn phím nào để mở bản đồ nhỏ?	Phím Ctrl	Phím Altl	Phím Tab	Phím Enter	3	
4	Hình này biểu thị?	Giao diện 'Túi'	Giao diện 'Kỹ năng'	Giao diện 'Nhiệm vụ'	Giao diện 'Nhân vật'	4	\image\ui\001b\main\btn_sidebar_player.spr
5	Hình này biểu thị?	Giao diện 'Kỹ năng'	Giao diện 'Nhiệm vụ'	Giao diện 'Túi'	Giao diện 'Kỹ năng sống'	3	\image\ui\001b\main\btn_sidebar_itembox.spr
6	Hình này biểu thị?	Giao diện 'Kỹ năng sống'	Giao diện 'Tổ đội'	Giao diện 'Bang hội gia tộc'	Giao diện 'Kỹ năng'	4	\image\ui\001b\main\btn_sidebar_skill.spr
7	Hình này biểu thị?	Giao diện 'Hệ thống'	Giao diện 'Nhân vật'	Giao diện 'Kỹ năng sống'	Giao diện 'Quan hệ'	3	\image\ui\001b\main\btn_sidebar_lifeskill.spr
8	Hình này biểu thị?	Giao diện 'Nhiệm vụ'	Giao diện 'Túi'	Giao diện 'Kỹ năng'	Giao diện 'Nhân vật'	1	\image\ui\001b\main\btn_sidebar_task.spr
9	Hình này biểu thị?	Giao diện 'Bang hội gia tộc'	Giao diện 'Quan hệ'	Giao diện 'Tổ đội'	Giao diện 'Hệ thống'	2	\image\ui\001b\main\btn_sidebar_friend.spr
10	Hình này biểu thị?	Giao diện 'Hệ thống'	Giao diện 'Kỹ năng sống'	Giao diện 'Tổ đội'	Giao diện 'Nhiệm vụ'	3	\image\ui\001b\main\btn_sidebar_team.spr
11	Hình này biểu thị?	Giao diện 'Bang hội gia tộc'	Giao diện 'Túi'	Giao diện 'Kỹ năng'	Giao diện 'Tổ đội'	1	\image\ui\001b\main\btn_sidebar_tong.spr
12	Hình này biểu thị?	Giao diện 'Quan hệ'	Giao diện 'Hệ thống'	Giao diện 'Nhiệm vụ'	Giao diện 'Nhân vật'	2	\image\ui\001b\main\btn_sidebar_system.spr
13	1 con mèo đen đang dạo bước bên bờ sông, đột nhiên thấy 1 con mèo trắng đang bị chìm, bèn cứu nó lên. Sau khi được cứu lên, nó nói câu gì với mèo đen?	Mèo đen hay trắng, nếu biết bơi đều là mèo giỏi	Đừng tưởng rằng nhuộm màu rồi thì ta không nhận ra ngươi	Mèo làm sao biết bơi?	Meo meo	4	
14	Tiệm ta có thể cung cấp gì cho nghĩa quân?	Có thể mua trang sức, sửa trang bị	Có thể mua dược phẩm, sửa trang bị	Có thể mua phòng cụ, sửa trang bị	Có thể mua vũ khí, sửa trang bị	3	
15	Ta đẹp không?	Đẹp	Khá đẹp	Quá đẹp	Đẹp đến nổi không tả được	1	
16	Tiệm ta có thể cung cấp gì cho nghĩa quân?	Có thể mua vũ khí, sửa trang bị	Có thể mua dược phẩm, sửa trang bị	Có thể mua phòng cụ, sửa trang bị	Có thể mua trang sức, sửa trang bị	4	
17	Tinh lực là gì?	Tinh lực là máu huyết, chỉ mức tối đa của lượng máu	Nguyên khí của tinh lực, là chỉ mức tối đa của nội lực	Tinh lực dùng để chế tạo các loại đạo cụ trong kỹ năng sống	Tinh lực gia công các loại đạo cụ trong kỹ năng sống	3	
18	Hoạt lực là gì?	Hoạt lực nghĩa là máu huyết, chỉ mức tối đa của lượng máu	Nguyên khí của hoạt lực, là chỉ mức tối đa của nội lực	Hoạt lực dùng để chế tạo các loại đạo cụ trong kỹ năng sống	Hoạt lực dùng để gia công các loại đạo cụ trong kỹ năng sống	4	
