TreasureId	Level	MapName	MapId	MapX	MapY	Desc	Pic	InstancingMapId	InstancingMapX	InstancingMapY	Duration	MaxMap	EnterLimtPerWeek
1	1	Nhạn Đãng Long Thu	36	1655	3231	Dưới cây cổ thụ phía Tây Nhạn Đãng Long Thu	image\icon\task\treasure\map_001.spr	253	1613	3298	55	0	0
2	1	Nhạn Đãng Long Thu	36	1673	3344	Dưới sườn núi phía Tây Nhạn Đãng Long Thu	image\icon\task\treasure\map_002.spr	253	1613	3298	55	0	0
3	1	Nhạn Đãng Long Thu	36	1716	3132	Thung lũng núi phía Bắc Nhạn Đãng Long Thu	image\icon\task\treasure\map_003.spr	253	1613	3298	55	0	0
4	1	Nhạn Đãng Long Thu	36	1905	3351	Bờ sông phía Bắc Nhạn Đãng Long Thu	image\icon\task\treasure\map_004.spr	253	1613	3298	55	0	0
5	1	Nhạn Đãng Long Thu	36	1914	3394	Bờ sông phía Đông Nhạn Đãng Long Thu	image\icon\task\treasure\map_005.spr	253	1613	3298	55	0	0
6	1	Nhạn Đãng Long Thu	36	1918	3601	Dưới gốc cây ở Nhạn Đãng Long Thu	image\icon\task\treasure\map_006.spr	253	1613	3298	55	0	0
7	1	Nhạn Đãng Long Thu	36	1818	3737	Hồ hoa sen ở Nhạn Đãng Long Thu	image\icon\task\treasure\map_007.spr	253	1613	3298	55	0	0
8	1	Nhạn Đãng Long Thu	36	1905	3256	Dưới thác nước Nhạn Đãng Long Thu	image\icon\task\treasure\map_008.spr	253	1613	3298	55	0	0
9	1	Nhạn Đãng Long Thu	36	1676	3509	Dưới hòn đá Nhạn Đãng Long Thu	image\icon\task\treasure\map_009.spr	253	1613	3298	55	0	0
10	1	Quán Trọ Long Môn	31	1625	3878	Dưới đống xương trắng ngoài Quán Trọ Long Môn	image\icon\task\treasure\map_010.spr	253	1613	3298	55	0	0
11	1	Quán Trọ Long Môn	31	1695	3681	Dưới đống xương trắng ngoài Quán Trọ Long Môn	image\icon\task\treasure\map_011.spr	253	1613	3298	55	0	0
12	1	Quán Trọ Long Môn	31	1960	3304	Dưới đống đổ nát ngoài Quán Trọ Long Môn	image\icon\task\treasure\map_012.spr	253	1613	3298	55	0	0
13	1	Quán Trọ Long Môn	31	1692	3364	Cạnh đám cây ngoài Quán Trọ Long Môn	image\icon\task\treasure\map_013.spr	253	1613	3298	55	0	0
14	1	Quán Trọ Long Môn	31	1741	3645	Cạnh ốc đảo Quán Trọ Long Môn	image\icon\task\treasure\map_014.spr	253	1613	3298	55	0	0
15	1	Quán Trọ Long Môn	31	1951	3723	Cạnh ốc đảo Quán Trọ Long Môn	image\icon\task\treasure\map_015.spr	253	1613	3298	55	0	0
16	1	Quán Trọ Long Môn	31	1946	3417	Cạnh gò đất ngoài Quán Trọ Long Môn	image\icon\task\treasure\map_016.spr	253	1613	3298	55	0	0
17	1	Quán Trọ Long Môn	31	1999	3999	Cạnh ốc đảo Quán Trọ Long Môn	image\icon\task\treasure\map_017.spr	253	1613	3298	55	0	0
18	1	Quán Trọ Long Môn	31	1928	3761	Dưới gốc cây khô ngoài Quán Trọ Long Môn	image\icon\task\treasure\map_018.spr	253	1613	3298	55	0	0
19	2	Thị trấn Bạch Tộc	35	2020	3772	Dưới gốc cây khô ngoài thị trấn Bạch Tộc	image\icon\task\treasure\map_019.spr	254	1572	3172	60	0	6
20	2	Thị trấn Bạch Tộc	35	1924	3716	Dưới 1 pho tượng bỏ hoang ngoài thị trấn Bạch Tộc	image\icon\task\treasure\map_020.spr	254	1572	3172	60	0	6
21	2	Thị trấn Bạch Tộc	35	1748	3696	Dưới cây đại thụ thị trấn Bạch Tộc	image\icon\task\treasure\map_021.spr	254	1572	3172	60	0	6
22	2	Thị trấn Bạch Tộc	35	1704	3681	Dưới cây đại thụ thị trấn Bạch Tộc	image\icon\task\treasure\map_022.spr	254	1572	3172	60	0	6
23	2	Thị trấn Bạch Tộc	35	1802	3618	Bờ hồ thị trấn Bạch Tộc	image\icon\task\treasure\map_023.spr	254	1572	3172	60	0	6
24	2	Thị trấn Bạch Tộc	35	1994	3802	Dưới gốc cây khô ngoài thị trấn Bạch Tộc	image\icon\task\treasure\map_024.spr	254	1572	3172	60	0	6
