MAP_ID	GAMESVR_SET_1	GAMESVR_SET_2	GAMESVR_SET_3	GAMESVR_SET_4	GAMESVR_SET_5	GAMESVR_SET_6	GAMESVR_SET_7	GAMESVR_SET_8	GAMESVR_SET_9	GAMESVR_SET_10	GAMESVR_SET_11	GAMESVR_SET_12	GAMESVR_SET_13	GAMESVR_SET_14	GAMESVR_SET_15	GAMESVR_SET_16	Ghi chú
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Vân Trung Trấn
2	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Long Môn Trấn
3	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	Vĩnh Lạc Trấn
4	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Đạo Hương Thôn
5	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Giang Tân Thôn
6	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Thạch Cổ Trấn
7	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Long Tuyền Thôn
8	1	2	2	4	5	5	7	8	8	8	8	8	8	8	8	8	Ba Lăng Huyện
9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Thiếu Lâm Phái
10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Thiên Nhẫn Giáo
11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Tát Mãn Giáo
12	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Côn Lôn Phái
13	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Tây Hạ Nhất Phẩm Đường
14	1	1	1	2	3	3	3	3	3	3	3	3	3	3	3	3	Võ Đang Phái
15	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Cái Bang
16	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Nga My Phái
17	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Thúy Yên Môn
18	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Đường Môn
19	1	2	3	3	3	6	2	6	6	6	6	6	6	6	6	6	Đại Lý Đoàn Thị
20	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Ngũ Độc Giáo
21	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Trường Ca Môn
22	1	2	2	4	5	5	7	8	8	8	8	8	8	8	8	8	Thiên Vương Bang
