Id	ITEM_G	ITEM_D	ITEM_P	ITEM_L	NUM	CARD_G	CARD_D	CARD_P	CARD_L	CARD_DESC	CARD_WEIGHT	PROBABILITY
1	18	1	200	1	5	18	1	313	24	Huyết Ảnh Thương	9	3000
2	18	1	201	1	5	18	1	313	25	Linh Thú Chiến Ngoa	9	3000
3	18	1	202	1	5	18	1	313	26	Độn Giáp Linh Phù	9	3000
4	18	1	203	1	5	18	1	313	27	Tử Tinh Huyễn Bội	9	3000
5	18	1	204	1	5	18	1	313	28	Thất Thái Tiên Đơn	9	3000
6	18	1	315	1	1	18	1	313	29	Tà Linh	10	3000
7	18	1	316	1	1	18	1	313	30	Thánh Ngấn	10	3000
8	18	1	317	1	1	18	1	313	31	Băng Liên	10	3000
9	18	1	334	1	1	18	1	313	43	Oán Linh	10	3000
10	18	1	335	1	1	18	1	313	44	Tuyết Tinh Thạch	10	3000
