Id	NPCID	DROP_RATE	CARD_G	CARD_D	CARD_P	CARD_L	CARD_DESC	CARD_WEIGHT	PROBABILITY
1	3218	15	18	1	313	1	Sói chúa	4	10000
2	3219	30	18	1	313	2	Gấu chúa	3	10000
3	3220	30	18	1	313	3	Hổ chúa	3	10000
4	3221	15	18	1	313	4	Cá sấu lớn	4	10000
5	3222	45	18	1	313	5	Khỉ chúa	7	5000
6	3223	30	18	1	313	6	Ngựa chúa	3	10000
7	3224	25	18	1	313	7	Dị Thú	4	10000
8	3225|3226	30|30	18	1	313	8	Sát Đại Mục	6	8000
9	3229	40	18	1	313	9	U Minh Quỷ Vương	5	6000
10	3209	50	18	1	313	10	Thống Lĩnh Ngụy Quân	8	4000
11	3235	35	18	1	313	11	Thống Lĩnh Ngô Quân	8	4000
12	3197	35	18	1	313	12	Giám Quân	8	4000
13	3227	30	18	1	313	13	Tử Uyển	7	6000
14	3228	30	18	1	313	14	Tần Trọng	7	6000
15	3286	85	18	1	313	15	Nhậm Diễu	8	6000
16	3301	35	18	1	313	16	Tiêu Bất Thực	9	5000
17	3241	35	18	1	313	17	Mộc Siêu	6	6000
18	3244	65	18	1	313	18	Hạ Tiểu Sảnh	7	5000
19	3245	45	18	1	313	19	Hồ Khôn	9	5000
20	3247	100	18	1	313	20	Mặc Quân	10	4000
21	3250	100	18	1	313	21	Đường Vũ	10	4000
22	3320	85	18	1	313	22	Hồ Càn	7	5000
23	3316	100	18	1	313	23	Diệp Tịnh	10	4000
24	3160	8	18	1	313	37	Cơ Quan Phủ Thủ	4	10000
25	3168|3169	5|5	18	1	313	38	Thống Lĩnh Phản Quân	5	10000
26	3171|3172	5|5	18	1	313	39	Quả Nông	4	10000
27	3242	5	18	1	313	40	Cơ Quan Cự Lang	7	10000
28	3203	35	18	1	313	41	Thủ Lĩnh Cường Đạo	8	10000
29	3240	40	18	1	313	42	Vượng Tài	5	5000
30	5005	30	18	1	313	49	Trương Đức Hằng	6	8000
