Id	ROOM_ID	DROP_RATE	CARD_G	CARD_D	CARD_P	CARD_L	CARD_DESC	CARD_WEIGHT	PROBABILITY
1	35	45	18	1	313	32	Lấy lại quân uy	6	6000
2	22	40	18	1	313	33	Xà Huyệt Thoát Hiểm	6	10000
3	14|21	30|30	18	1	313	34	Trợ Nhân Vi Lạc	6	6000
4	60	85	18	1	313	35	Hậu Sinh Khả Úy	8	6000
5	57	100	18	1	313	36	Đào Thoát Đại Sư	10	3000
6	40	45	18	1	313	45	Thử Địa Vô Ngân	6	6000
7	25|46	30|30	18	1	313	46	Hộ Hoa Sứ giả	5	6000
8	39	45	18	1	313	47	Thoát Khỏi Vòng Vây	6	6000
9	30|43	35|35	18	1	313	48	Hầu Khẩu Đoạt Thực	6	6000
10	68	45	18	1	313	50	Thoát chết	6	3000
11	69	45	18	1	313	51	Dục Hỏa Trùng Sinh	8	3000
12	70	45	18	1	313	52	Tam Quân	8	6000
