RoomId	Level	Teams	Weight	WinExp	LostExp	WinRepute	LostRepute	Prestige
1	1	1	1000	18	9	1	1	0
2	1	1	1000	18	9	1	1	0
3	1	1	1000	18	9	1	1	0
4	1	1	1000	18	9	1	1	0
5	1	1	1000	18	9	1	1	0
6	1	1	1000	18	9	1	1	0
7	1	1	1000	18	9	1	1	0
8	1	1	1000	18	9	1	1	0
9	1	1	1000	18	9	1	1	0
10	1	1	1000	18	9	1	1	0
11	1	1	1000	18	9	1	1	0
12	1	1	1000	18	9	1	1	0
13	2	1	1000	18	9	2	2	1
14	2	1	1000	18	9	2	2	1
15	2	1	1000	18	9	2	2	1
16	2	1	1000	18	9	2	2	1
17	2	1	1000	18	9	2	2	1
18	2	1	1000	18	9	2	2	1
19	2	1	1000	18	9	2	2	1
20	2	1	1000	18	9	2	2	1
21	2	1	1000	18	9	2	2	1
22	2	1	1000	18	9	2	2	1
23	2	1	1000	18	9	2	2	1
24	2	1	1000	18	9	2	2	1
25	3	1	1000	27	14	3	3	2
26	3	1	1000	27	14	3	3	2
27	3	1	1000	27	14	3	3	2
28	3	1	1000	27	14	3	3	2
29	3	1	1000	27	14	3	3	2
30	3	1	1000	27	14	3	3	2
31	3	1	1000	27	14	3	3	2
32	3	1	1000	27	14	3	3	2
33	3	1	1000	27	14	3	3	2
34	3	1	1000	27	14	3	3	2
35	3	2	1000	27	14	30	8	2
37	3	1	1000	27	14	3	3	2
38	4	1	1000	36	18	4	4	5
39	4	1	1000	36	18	4	4	5
40	4	1	1000	36	18	4	4	5
41	4	1	1000	36	18	4	4	5
42	4	1	1000	36	18	4	4	5
43	4	1	1000	36	18	4	4	5
44	4	1	1000	36	18	4	4	5
45	4	1	1000	36	18	4	4	5
46	4	1	1000	36	18	4	4	5
47	4	1	1000	36	18	4	4	5
49	4	2	1000	36	18	6	4	5
50	4	1	1000	36	18	4	4	5
51	4	1	1000	36	18	4	4	5
52	5	1	1000	45	23	5	5	8
53	5	1	1000	45	23	5	5	8
54	5	1	1000	45	23	5	5	8
55	5	1	1000	45	23	5	5	8
56	5	1	1000	45	23	5	5	8
57	5	1	1000	45	23	5	5	8
58	5	1	1000	45	23	5	5	8
59	5	1	1000	45	23	5	5	8
60	5	1	1000	45	23	5	5	8
61	5	1	1000	45	23	5	5	8
63	5	2	1000	45	23	8	5	8
64	5	1	1000	45	23	5	5	8
65	5	1	1000	45	23	5	5	8
66	4	1	1000	36	18	4	4	5
67	5	1	1000	45	23	5	5	8
69	3	1	1000	27	14	3	3	2
70	5	1	1000	45	23	5	5	8
71	5	1	1000	45	23	5	5	8
72	5	1	1000	45	23	5	5	8
73	4	1	1000	45	23	5	5	8
74	2	1	1000	18	9	2	2	1
75	3	1	1000	27	14	3	3	2
