QID	SHOWFLAG	QUESTION	ANSWER	SELECT1	SELECT2	SELECT3
1	1	Làm sao tương trang bị liên tiếp xen vào đáo nói chuyện phiếm lan? 	Ctrl+ thử tiêu tả kiện điểm kích trang bị 	Thử tiêu tả kiện điểm kích trang bị 	Alt+ thử tiêu hữu kiện điểm kích trang bị	
2	1	Trang bị cắt đích mau lẹ kiện là cái gì? 	Ctrl+W	Alt+W	Ctrl+Alt+Del	
3	1	Nếu như muốn cùng người chơi khác tiến hành lẫn nhau thao tác, tỷ như: nói chuyện phiếm, giao dịch, kiểm tra trang bị... Ứng với nên làm như thế nào? 	Ctrl+ thử tiêu hữu kiện điểm kích cai ngoạn gia 	Thử tiêu hữu kiện điểm kích cai ngoạn gia 	Thử tiêu tả kiện điểm kích cai ngoạn gia	
4	1	Mở, đóng tràng cảnh địa đồ đích mau lẹ kiện thị người nào? 	Tab kiện 	Ctrl kiện 	Shift kiện	
5	1	Thử tiêu di động đáo tiểu trên bản đồ hậu làm sao tha động tiểu địa đồ? 	Đè lại thử tiêu hữu kiện tiến hành tha động 	Đè lại thử tiêu tả kiện tiến hành tha động 	Đè lại thử tiêu vòng lăn tiến hành tha động	
6	1	Làm sao dùng tiểu địa đồ tự động tìm đường? 	Tại tiểu trên bản đồ tả kiện điểm kích muốn khứ đích địa phương 	Hữu kiện điểm kích muốn khứ đích địa phương 	Ctrl+ thử tiêu hữu kiện điểm kích	
7	1	Dưới đây na loại quái sẽ không rơi xuống lửa trại? 	Phổ thông quái 	Tinh anh quái 	Thủ lĩnh quái	
8	1	Lửa trại đích hiệu quả là cái gì? 	Tại lửa trại hữu hiệu trong phạm vi đích ngoạn gia mỗi 5 miểu khả dĩ thu được kinh nghiệm 	Tại lửa trại hữu hiệu trong phạm vi đích ngoạn gia lực công kích đề cao 	Lửa trại khả dĩ dùng để sưởi ấm	
9	1	Lửa trại châm hậu duy trì liên tục thời gian có bao nhiêu cửu? 	15 phút 	10 phút 	12 phút	
10	1	Sưởi ấm thì hát chút rượu có chỗ tốt gì? 	Khả dĩ thu được càng nhiều kinh nghiệm 	Khả dĩ đề cao ngoạn gia công kích 	Có thể cho ngoạn gia luyện thành Tuý Quyền kỹ năng	
11	1	6 nhân tổ đội sưởi ấm song song hát tửu, dưới đây na loại tình huống thu được kinh nghiệm giác cao? 	5 cá nhân hát tây bắc vọng, 1 cá nhân hát nữ nhi hồng 	3 cá nhân hát hạnh hoa thôn, 3 cá nhân hát đạo mùi hoa 	Mỗi người đều hát bất đồng đích rượu	
12	1	Dưới đây na loại vật phẩm bất năng để vào đồ dự bị trang bị lan? 	Bí tịch 	Vũ khí 	Ngọc bội	
13	1	Mỗi lần trang bị cắt đích thời gian khoảng cách thị bao lâu? 	60 miểu 	30 miểu 	45 miểu	
14	1	Tương nhất kiện trang bị buộc định đích vũ khí để vào đồ dự bị trang bị lan thì, cai vũ khí có hay không sẽ bị buộc định? 	Thị 	Phủ		
15	1	Thụ thương đích hiệu quả là cái gì? 	Cấm thi triển kỹ năng hòa di động, nhưng khả dĩ uống thuốc 	Cấm thi triển kỹ năng hòa di động, không có thể ăn dược 	Lực công kích rơi chậm lại	
16	1	Suy yếu đích hiệu quả là cái gì? 	Lực công kích rơi chậm lại 	Bị công kích thì đã bị thương tổn tăng 	Di động hòa thi triển kỹ năng đích động tác giảm bớt	
17	1	Chậm chạp đích hiệu quả là cái gì? 	Di động hòa thi triển kỹ năng đích động tác giảm bớt 	Cấm thi triển kỹ năng hòa di động, không có thể ăn dược 	Lực công kích rơi chậm lại	
